psraid,sample,int_date,lang,comp,version,form,qs1,live1,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q1i,q2a,q2b,q2c,q2d,q2e,q3a,q3b,q3c,q3d,q3e,q3f,eminuse,intmob,home3nw,bbhome1,bbhome2,device1a,smart1,smart2,snsint2,device1b,device1c,device1d,devicehha,devicehhb,devicehhc,devicehhd,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q5,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,q10g,libusea,libuseb,libusec,libmob,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,reg,oftvote,sex,age,marital,par,kidage1,educ2,emplnw,disa,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,party,partyln,ideo,hh1,hh3,ql1a,qc1,fips,usr,cregion,state,density,weight,standwt
100003,1,92916,1,1,1,1, ,4,1,1,1,1,2,1,1,4,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2, ,1,1, ,1,1,1,1,1,2,1,0,4,2,3,4,4,4,4,1,2,4,2,2,4,4,2,2,1,4,4,1,2,3,1,1,1,1,1,1,2,1,3,3, ,1,2,2,2,2,2,2,1,1,1,2,78,2,2, ,3,2,2,2,1, , , , ,3,1, ,2,2,2, , ,34029,S,1,34,4,2.23529411764706,.786190279869192
100005,1,92916,1,1,1,2, ,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,3, ,1, ,8,2,2,2,1,0,1,1,0,2,2,2,4,4,4,2,2,2, ,2,2,1,2,1,2,1,3,8,1,2,2,1,1,1,1,2,8,2,3,3,3, ,1,1,1,1,1,1,8,1,1,1,2,88,6,2, ,6,3,2,2,1, , , , ,7,2, ,3,1, , , ,36061,U,1,36,5,1.02941176470588,.362061313097654
100008,1,92916,1,1,1,2, ,4,3,3,2,3,2,2,2,2,2,3,3,1,3,3,2,1,1,1,1,2,1,1,1,4, ,1, ,1,2,2,2,1,1,0,2,0,2,2,2,2,2,3,2,3,1, ,2,1,1,2,2,1,2,2,4,1,1,3,1,2,1,1,1,1,2,3,3,3, ,2,2,2,2,2,2,2,1,3, ,1,46,6,2, ,3,1,2,2,1, , , , ,4,1, ,3,1, , , ,42039,R,1,42,1,3.02941176470588,1.06549472140167
100015,1,92916,1,1,1,2, ,3,2,1,2,2,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,2, ,1, ,1,2,2,2,1,1,0,1,0,2,1,2,2,2,1,1,2,2, ,1,1,2,2,2,2,1,2,3,1,1,3,1,1,1,1,1,1,2,1,3,3, ,1,1,1,1,1,1,2,1,1,1,2,71,1,2, ,3,3,2,2,1, , , , ,4,2, ,2,2,2, , ,12057,U,3,12,4,2.61764705882353,.920670196162606
100018,1,92916,1,1,1,1, ,3,2,1,4,1,4,1,2,3,2,3,3,1,2,2,1,1,1,1,1,2,2,2, , , ,2, , , ,2,2,2,0,0,0,0,4,2, , ,4,4,4, ,2, ,2,4,4,2,2,2,4,1,4,2,2,4,1,1,1,1,1,1,1,2,2,3, ,1,2,2,2,2,2,2,1,1,1,2,81,6,2, ,4,3,1,2,1, , , , ,2,1, ,2,2,2,1, ,34029,S,1,34,4,4.94117647058823,1.73789430286874
100026,1,92916,1,1,1,2, ,4,2,3,2,2,3,2,2,3,3,3,3,2,3,3,2,1,1,1,1,1,1,2,1,2, ,1, ,2,2,2,2,1,0,1,2,0,2,3,2,3,2,3,3,3,2, ,3,1,2,3,2,2,2,1,4,2,1,3,1,1,1,2,1,1,1,1,3,3, ,1,2,1,1,2,2,2,2,1,3,1,67,1,2, ,3,1,2,2,1, , , , ,9,3,2,3,2,2, , ,18039,S,2,18,3,2.55882352941176,.899980978271312
100028,1,92916,1,1,1,2, ,2,2,1,4,2,1,2,2,2,1,4,4,1,4,3,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,2,2,1,2,1,1,0,1,2,2,3,2,2,2,2,1,3,1,2,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,2,1,3,3, ,1,2,2,2,2,1,2,1,1,1,2,71,3,2, ,3,3,2,2,1, , , , ,3,2, ,4,4,2, , ,22063,S,3,22,2,2.41176470588235,.848257933543076
100030,1,100116,1,1,1,2, ,3,2,1,1,2,3,2,2,3,3,4,2,1,4,3,1,1,2,1,1,2,1,1,1,2, ,1, ,1,1,2,2,1,4,1,6,1,2,3,2,2,4,3,1,1,2,4,2,2,2,3,2,3,2,1,3,2,1,3,1,1,2,2,1,1,2,1,3,3, ,2,2,2,2,2,2,2,2,1,1,1,60,1,2, ,4,3,2,2,1, , , , ,7,1, ,2,5,5, , ,12033,S,3,12,3,2.94117647058824,1.03446089456473
100037,1,100216,1,1,1,2, ,1,2,4,2,1,2,1,2,1,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,3,2,2,1,1,4,1,1,2,1,2,4,2,2,2,1,1,1,1,1,1,1,1,3,3, ,1,1,1,1,1,1,2,1,1,5,2,35,3,1,0,4,1,2,2,1, , , , ,3,2, ,4,2,1, , ,26081,S,2,26,3,2.82352941176471,.993082458782137
100039,1,92916,1,1,1,1, ,4,1,1,2,1,1,1,1,2,1,4,2,1,4,4,2,1,1,1,1,2,1,1,1,2, ,1,1, ,1,2,1,1,1,3,2,1,1,1,1,8,8,1,8,2,4,2,1,8,4,4,3,4,3,1,4,1,1,4,1,1,1,1,8,1,2,1,3,3, ,8,1,1,8,8,1,2,8,1,1,2,57,1,2, ,4,1,2,2,9, , , , ,99,4,1,1,2,2, , ,51075,S,3,51,1,2.55882352941176,.899980978271312
100040,1,92916,1,1,1,2, ,3,4,4,2,3,1,1,1,3,4,4,2,1,2,2,1,1,1,1,1,1,1,1,1,2, ,1, ,2,1,2,1,1,1,2,1,2,1,2,2,1,2,4,2,2,2,2,1,3,2,3,1,2,1,3,2,1,2,2,1,2,1,1,1,1,1,3,3,3, ,2,2,2,2,2,2,1,2,1,4,2,54,1,2, ,5,1,2,2,1, , , , ,7,3,1,4,3,3, , ,19085,S,2,19,1,3.70588235294118,1.30342072715156
100044,1,92916,1,1,1,2, ,3,2,1,2,1,3,2,2,2,2,4,3,1,4,4,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,2,1,1,2,1,2,0,3,4,3,2,4,3,2,1,2,4,2,1,2,3,2,2,1,3,4,1,1,2,2,1,1,2,1,1,2,2,3,3, ,1,2,2,1,2,1,2,1,1,1,2,70,1,2, ,4,3,2,2,1, , , , ,9,1, ,2,2,2, , ,19163,S,2,19,3,1.41176470588235,.496541229391069
100052,1,110416,1,1,1,2, ,4,3,4,2,2,2,2,2,2,4,3,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1, ,2,2,2,2,1,0,0,2,0,3,2,1,4,2,2,3,1,2, ,2,3,2,3,2,3,1,3,3,1,1,2,1,1,1,1,1,1,2,2,3,3, ,1,1,1,1,1,1,1,1,3, ,1,57,6,2, ,3,1,2,2,1, , , , ,5,1, ,1,1, , , ,55081,R,2,55,1,1.88235294117647,.662054972521425
100053,1,92916,1,1,1,2, ,4,1,4,4,1,2,4,4,4,4,2,4,1,2,2,2,2,1,2,2,2,2,2, , , ,1, ,2, ,2,2,2,0,0,0,0,4,4, ,4,4,4,4, ,4, ,3,4,4,3,1,1,4,1,4,4,1,4,1,1,2,2,1,1,1,2,3,3, ,2,2,2,2,2,2,2,2,1,1,1,73,1,2, ,2,3,1,2,1, , , , ,99,1, ,5,3,3, , ,37081,S,3,37,3,3.20588235294118,1.12756237507555
100059,1,92916,1,1,1,1, ,2,1,2,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,2, , , ,2, , , ,2,2,2,0,0,0,0,1,4, , ,1,1,2, ,2, ,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,3,3, ,1,1,1,1,2,1,2,1,1,2,1,88,5,2, ,3,3,1,2,1, , , , ,4,2, ,3,1, , , ,39113,U,2,39,4,5.79411764705882,2.03788796229251
100069,1,92916,1,1,1,1, ,3,2,1,2,2,1,1,2,2,1,2,4,1,2,1,2,1,1,1,1,1,1,1,1,2, ,1,1, ,1,2,1,1,3,3,4,0,3,3,2,1,4,4,3,1,2,3,2,2,2,3,2,2,3,1,2,1,2,2,1,2,1,1,1,1,2,2,3,3, ,2,2,2,2,2,2,2,2,1,1,2,69,3,2, ,3,1,2,2,1, , , , ,7,3,1,2,3,3, , ,47109,R,3,47,1,2.47058823529412,.86894715143437
100070,1,92916,1,1,1,1, ,3,2,1,2,2,1,2,2,2,2,8,2,8,3,2,2,1,1,1,8,1,1,1,1,2, ,1,2, ,1,2,2,1,0,0,2,0,2,2,1,8,2,1,2,2,3,3,4,1,4,1,1,4,1,3,1,3,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,57,1,2, ,6,1,2,2,1, , , , ,7,3,2,5,2,2, , ,55133,R,2,55,3,1.11764705882353,.393095139934596
100075,1,100516,1,1,1,2, ,1,4,3,4,2,1,4,4,4,3,1,1,1,1,1,1,1,2,1,1,1,2,2, , , ,2, , , ,2,2,2,0,0,0,0,4,2, , ,4,4,4, ,2, ,2,4,3,4,1,2,4,1,4,1,1,1,1,1,1,1,1,1,2,2,3,3, ,1,2,1,2,1,2,8,2,1,1,2,84,5,2, ,3,3,1,2,2, , , , ,1,2, ,2,1, , , ,39113,U,2,39,4,4.94117647058823,1.73789430286874
100077,1,92916,1,1,1,1, ,2,2,2,2,3,4,2,2,3,4,2,2,2,3,2,2,1,2,1,1,1,1,1,1,8, ,1,8, ,2,8,2,2,2,98,98,0,2,2,2,3,2,2,8,2,2, ,2,1,2,2,2,2,2,2,3,2,1,2,1,1,1,1,1,1,2,2,3,3, ,1,1,1,1,1,1,8,1,2, ,2,92,5,2, ,3,3,2,2,1, , , , ,3,1, ,2,1, , , ,27053,S,2,27,5,1.85294117647059,.651710363575778
100082,1,92916,1,1,1,1, ,3,2,1,2,1,1,1,1,2,1,2,2,1,3,2,2,1,1,1,1,1,1,1,1,2, ,1,1, ,1,2,1,1,5,3,2,3,3,2,2,1,3,3,3,1,1,2,2,1,1,2,2,2,1,3,3,2,1,3,1,2,1,1,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,1,1,2,66,3,1,0,8,2,2,2,5, , , , ,8,2, ,3,5,3, , ,30111,U,4,30,1,1.88235294117647,.662054972521425
100086,1,92916,1,1,1,1, ,3,2,4,4,2,2,2,2,2,4,2,2,1,2,2,1,2,1,2,1,1,2,2, , , ,1,2, , ,2,2,1,0,0,1,0,4,2, ,4,2,4,4, ,4, ,2,2,4,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,3,3, ,2,1,2,2,2,2,2,2,3, ,2,53,1,2, ,2,4,1,2,1, , , , ,2,2, ,3,2,2, , ,31133,R,2,31,1,3.64705882352941,1.28273150926026
100088,1,92916,1,1,1,1, ,4,1,1,2,8,4,1,1,1,1,8,1,2,8,2,2,1,1,1,1,1,1,1,1,2, ,1,2, ,2,2,1,1,0,1,2,0,4,3,8,8,9,8,9,1,1, ,1,8,4,4,1,1,1,3,8,2,8,3,1,1,1,1,1,1,1,2,2,3, ,1,2,2,2,2,1,8,2,1,1,1,67,1,2, ,8,3,1,2,1, , , , ,7,1, ,2,2,2, , ,12033,S,3,12,3,1.08823529411765,.382750530988949
100090,1,92916,1,1,1,2, ,4,4,2,1,2,2,1,4,2,4,4,2,2,2,4,2,2,1,2,1,2,2,2, , , ,2, , , ,2,2,2,0,0,0,0,2,2, , ,3,3,2, ,3, ,1,3,3,4,3,3,4,1,4,4,8,4,2,2,8,2,2,2,2,3,3,3, ,2,2,2,2,2,2,2,2,1,1,1,55,6,2, ,3,4,1,2,2, , , , ,98,2, ,8,1, , , ,55059,S,2,55,3,4.94117647058823,1.73789430286874
100094,1,100216,1,1,1,1, ,3,2,3,3,1,1,1,2,4,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,8, ,1,2, ,2,2,2,1,0,0,1,0,1,2,1,2,1,3,2,2,1, ,1,1,1,3,1,3,2,1,3,2,2,2,1,1,1,1,1,1,1,2,2,3, ,1,1,1,1,1,1,1,1,3, ,2,72,1,2, ,3,4,2,2,1, , , , ,3,1, ,3,4,4, , ,42037,U,1,42,2,2.52941176470588,.889636369325665
100100,1,92916,1,1,1,2, ,3,2,2,4,2,2,2,2,4,2,2,2,2,2,2,1,1,2,1,1,1,2,2, , , ,2, , , ,2,2,2,0,0,0,0,2,4, , ,2,2,2, ,2, ,2,2,2,2,2,2,2,1,4,1,1,2,1,2,2,1,2,2,2,3,3,3, ,1,1,1,1,1,1,2,1,2, ,2,35,1,1,0,2,4,2,2,2, , , , ,1,2, ,5,6,2,2, ,13037,R,3,13,1,5.79411764705882,2.03788796229251
100103,1,92916,1,1,1,2, ,3,2,1,1,1,1,1,2,1,1,1,2,1,2,4,2,1,1,1,1,2,1,1,1,2, ,1, ,1,2,2,2,1,1,0,1,0,1,4,4,2,4,4,4,1,1, ,1,1,1,1,2,4,4,3,4,4,2,2,1,2,1,1,1,1,2,1,1,3,2,1,2,1,2,1,1,2,1,1,1,2,65,5,2, ,8,2,2,2,1, , , , ,4,2, ,4,1, , , ,42129,S,1,42,3,1,.351716704152007
100105,1,92916,1,1,1,2, ,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,1,1,1,5,6,8,5,4,2,3,1,1,2,4,1,2,3,2,1,2,2,1,3,1,2,2,3,1,2,1,1,1,1,1,1,2,2,2,2, ,1,2,2,2,2,2,2,1,1,2,1,47,1,1,0,6,3,2,2,1, , , , ,9,2, ,5,4,2, , ,42129,S,1,42,3,1.97058823529412,.693088799358367
100107,1,100516,1,1,1,1, ,2,3,2,2,1,3,1,2,1,1,3,1,2,4,4,2,2,1,1,1,1,1,1,1,2, ,1,1, ,1,1,1,1,2,1,4,0,1,1,1,2,2,2,1,2,2,4,2,2,2,2,2,2,1,2,2,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,51,6,1,0,6,2,2,2,1, , , , ,7,3,1,2,4,3, , ,27003,S,2,27,3,1.76470588235294,.620676536738836
100109,1,100116,1,1,1,2, ,1,3,4,4,3,2,1,2,3,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2, ,1, ,2,1,2,1,1,0,1,1,0,1,3,2,4,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,3,2,1,2,1,2,2,2,2,1,1,1,2,76,1,2, ,4,3,2,2,1, , , , ,5,2, ,2,2,2, , ,27137,U,2,27,1,1.35294117647059,.475852011499774
100118,1,92916,1,1,1,2, ,1,1,1,2,1,1,1,2,1,1,4,1,1,3,1,2,1,1,1,1,1,1,1,2, , ,1, ,1,1,2,2,1,3,1,1,1,1,1, ,1,1,1,1,2,2,3,2,1,2,2,2,2,2,1,4,1,1,4,1,1,1,1,1,1,2,2,2,2, ,1,1,1,1,1,1,1,1,1,1,1,59,6,2, ,3,3,2,2,2, , , , ,4,2, ,2,3,3, , ,42101,U,1,42,5,4.38235294117647,1.54134673290144
100120,1,100116,1,1,1,2, ,2,1,1,2,2,1,1,1,2,2,1,2,1,4,2,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,1,1,1,4,5,4,1,2,3,1,2,3,3,2,2,1,4,3,3,1,2,2,2,3,2,2,1,8,2,1,1,1,1,1,1,1,2,8,3, ,1,2,2,2,2,2,2,2,1,1,1,66,1,1,0,6,1,2,2,1, , , , ,7,2, ,4,4,3, , ,4013,S,4,4,3,1.05882352941176,.372405922043301
100121,1,92916,1,1,1,2, ,4,2,3,4,2,3,3,3,4,3,2,1,1,2,3,8,1,1,1,1,8,2,2, , , ,1, ,2, ,2,2,1,0,0,1,0,3,1, ,4,2,2,4, ,4, ,1,3,3,3,3,3,1,2,3,2,2,1,1,1,1,1,1,1,2,3,3,3, ,1,2,2,2,2,2,2,1,3, ,2,37,1,1,2,1,4,2,2,1, , , , ,6,3,8,2,8,2, , ,55019,R,2,55,1,4.23529411764706,1.48962368817321
100125,1,92916,1,1,1,2, ,3,1,2,1,2,1,1,2,2,2,4,4,2,4,3,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,2,2,1,2,1,2,0,3,4,2,1,2,3,2,2,2,3,3,2,2,2,2,3,3,2,4,3,1,3,1,2,1,1,1,1,1,1,3,3, ,1,1,1,1,2,2,1,1,1,1,1,74,1,2, ,8,3,1,2,2, , , , ,8,2, ,3,2,2, , ,53053,S,4,53,3,1.47058823529412,.517230447282363
100128,1,92916,1,1,1,2, ,3,2,1,2,1,1,1,2,2,2,3,2,1,4,4,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,2,1,1,1,0,2,0,1,1,2,1,4,4,1,3,3,3,1,8,3,3,2,2,1,1,3,2,1,2,1,1,1,1,1,1,2,2,3,3, ,2,2,2,2,2,2,2,2,1,1,2,73,1,2, ,3,3,2,2,1, , , , ,6,3,1,2,5,3, , ,47063,S,3,47,3,2.67647058823529,.941359414053901
100130,1,92916,1,1,1,2, ,2,1,1,3,2,3,1,1,1,1,4,1,2,2,2,1,1,1,1,1,1,1,1,1,2, ,1, ,1,1,1,1,1,1,2,2,1,1,1,1,1,4,3,3,1,2,3,1,1,3,3,1,1,1,2,4,1,1,3,1,1,2,1,2,1,2,2,2,3, ,2,2,2,2,2,2,2,2,1,1,2,63,3,2, ,7,3,1,1,1, , , ,1,99,3,1,4,2,1, , ,41067,U,4,41,3,1.38235294117647,.486196620445421
100132,1,92916,1,1,1,2, ,4,1,2,2,2,2,1,2,2,2,3,2,1,3,3,1,1,2,1,1,2,1,1,1,2, ,1, ,1,1,1,1,1,1,1,1,1,2,2,4,4,4,3,2,1,2,2,2,2,2,1,2,2,1,3,1,2,2,2,1,1,1,2,1,1,2,1,1,3,2,1,1,1,1,1,1,2,1,1,2,2,63,5,2, ,6,1,2,2,1, , , , ,7,3,2,4,1, , , ,26155,R,2,26,2,1.14705882352941,.403439748880243
100134,1,92916,1,1,1,1, ,4,4,4,4,4,4,1,4,2,4,1,4,1,4,4,2,1,1,1,1,1,1,1,1,2, ,1,1, ,2,2,1,1,1,1,1,0,4,4,4,1,4,4,4,1,2, ,2,4,2,4,1,4,4,1,4,4,2,1,1,1,1,1,1,1,2,2,2,3, ,2,2,2,2,2,2,2,2,1,1,2,31,6,2, ,8,1,1,2,1, , , , ,3,3,8,2,4,3, , ,6017,S,4,6,1,2.44117647058824,.858602542488723
100140,1,92916,1,1,1,1, ,2,2,1,2,1,1,1,1,1,1,2,2,1,3,3,2,1,1,1,1,1,1,1,1,2, ,1,1, ,2,1,1,1,1,1,1,0,1,1,1,8,1,1,1,3,2, ,2,1,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2, ,1,2,1,2,2,1,2,1,1,1,2,81,5,2, ,8,3,2,2,3, , , , ,6,3,2,3,1, , , ,6037,S,4,6,5,1.38235294117647,.486196620445421
100147,1,92916,1,1,1,1, ,4,2,1,3,1,1,1,1,1,2,3,2,1,3,2,9,1,2,1,1,1,1,1,1,2, ,1,2, ,1,2,1,1,0,0,1,1,1,4,3,4,2,3,2,3,2,3,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,9,2,1,1,1,3,3, ,1,2,9,2,2,2,2,1,1,1,2,75,5,2, ,3,3,1,2,1, , , , ,99,2, ,3,1, , , ,53029,R,4,53,3,1.67647058823529,.589642709901894
100149,1,92916,1,1,1,2, ,2,2,1,2,2,1,2,2,2,2,3,3,1,3,3,2,1,1,1,1,1,1,2,1,2, ,1, ,2,1,2,2,1,0,0,1,0,3,2,4,3,3,3,2,1,3,3,1,3,3,3,1,3,3,1,3,1,1,3,2,1,1,1,1,1,2,2,3,3, ,1,2,1,1,2,1,2,1,1,1,2,82,3,2, ,5,3,1,2,1, , , , ,3,1, ,3,1, , , ,41067,U,4,41,3,1,.351716704152007
100150,1,92916,1,1,1,1, ,2,2,1,3,2,1,1,1,1,2,3,2,1,3,3,1,1,1,1,8,1,1,1,1,2, ,1,1, ,1,2,1,1,2,2,3,0,4,1,2,3,4,4,3,1,1,3,2,1,1,2,1,2,3,2,3,3,1,3,1,1,2,1,1,1,2,3,3,3, ,1,1,1,1,2,1,2,1,1,1,2,51,1,2, ,8,1,2,2,1, , , , ,99,2, ,4,2,2, , ,6085,U,4,6,4,1.58823529411765,.558608883064952
100151,1,100216,1,1,1,1, ,2,2,1,1,1,1,2,1,3,3,4,4,1,8,1,2,1,2,1,1,1,1,1,1,2, ,1,2, ,2,2,1,1,0,1,1,0,4,4,4,4,2,2,4,1,1, ,4,2,4,3,4,4,4,1,4,1,1,4,1,1,1,2,2,1,2,2,3,3, ,8,2,2,2,2,2,2,2,1,1,2,86,1,2, ,3,3,1,2,1, , , , ,4,2, ,2,2,2, , ,6081,S,4,6,4,2.38235294117647,.837913324597428
100155,1,92916,1,1,1,2, ,2,2,2,3,4,4,2,3,3,2,8,2,2,3,8,1,1,1,1,1,8,1,2,2, , ,2, , ,2,2,2,1,0,0,1,0,3,2, , ,4,4,4,2,2, ,2,8,2,2,2,2,3,1,3,2,1,2,1,2,1,2,1,1,2,2,3,3, ,1,1,1,1,8,1,1,1,1,1,2,94,5,2, ,3,3,2,2,1, , , , ,98,2, ,4,2,2,2, ,6037,U,4,6,5,5.79411764705882,2.03788796229251
100159,1,100116,2,1,1,2, ,1,4,3,3,3,3,1,4,2,4,3,1,1,1,3,2,1,1,1,1,1,2,2, , , ,1, ,1, ,2,2,2,2,0,1,0,1,1, ,1,1,3,3, ,3, ,1,1,1,3,1,1,3,1,3,3,1,3,2,1,1,1,1,1,1,3,3,3, ,1,1,1,1,1,1,2,1,3, ,1,70,1,2, ,1,3,1,1,7, , , ,3,3,3,2,4,2,2, , ,6029,U,4,6,1,2.14705882352941,.75515645303225
100162,1,100716,1,1,1,2, ,1,2,1,4,1,1,1,1,2,1,1,2,1,2,4,2,1,1,1,1,1,1,1,1,2, ,1, ,1,2,2,1,1,3,7,3,0,2,2,1,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3,2,1,3,1,2,1,1,1,1,1,1,1,3,2,1,2,2,1,2,1,1,1,1,1,1,61,2,2, ,6,5,2,2,1, , , , ,99,3,2,4,3,3, , ,6037,U,4,6,5,1.47058823529412,.517230447282363
100164,1,100116,1,1,1,1, ,2,1,1,4,2,1,1,1,2,1,4,3,1,4,3,2,1,1,1,2,1,1,1,1,2, ,1,1, ,1,2,2,1,2,0,2,3,4,4,4,4,4,4,4,1,2,3,2,2,2,2,2,2,1,1,3,1,1,4,1,2,1,1,1,1,1,2,2,3, ,1,2,2,1,2,2,2,2,1,1,1,35,1,1,1,6,1,2,2,1, , , , ,8,1, ,3,3,2, , ,20173,U,2,20,3,1.35294117647059,.475852011499774
100168,1,103116,1,1,1,2, ,3,1,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,2,1,1,2,2,1,2,1,1,1,2,2,3,1,2,2,4,2,2,2,2,2,2,1,3,2,1,2,2,2,2,1,1,1,1,2,1,3,3, ,2,2,1,1,2,1,2,1,1,1,2,67,1,2, ,3,3,2,2,1, , , , ,99,3,2,3,2,2, , ,36065,U,1,36,2,3,1.05515011245602
100175,1,100116,1,1,1,2, ,4,1,1,1,3,1,2,1,2,3,1,2,2,2,2,2,2,2,1,2,2,2,1,1,3, ,1, ,2,1,2,2,2,1,1,0,1,2,3,2,1,2,1,4,1,2,3,2,2,3,3,3,3,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,40,1,1,2,6,1,2,1,7, , , ,3,5,2, ,8,2,2, , ,34003,S,1,34,5,2.55882352941176,.899980978271312
100179,1,100116,1,1,1,2, ,1,1,1,2,1,2,2,2,3,3,3,3,1,1,1,2,1,1,1,2,1,1,1,1,2, ,1, ,2,1,2,2,1,2,0,6,0,2,3,2,1,3,3,3,1,2,4,2,2,3,3,3,3,2,4,3,2,2,1,2,2,1,1,1,1,2,1,3,3, ,1,1,1,1,1,1,2,1,1,3,1,63,1,2, ,8,1,2,2,3, , , , ,9,2, ,3,2,2, , ,51059,S,3,51,5,1.52941176470588,.537919665173658
100187,1,93016,1,1,1,2, ,3,1,1,4,1,4,1,1,4,1,2,3,1,2,2,2,1,1,1,1,1,1,1,1,3, ,1, ,1,1,2,2,1,2,0,2,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,3,4,3,4,2,1,2,1,2,1,2,2,2,2,2,2,3, ,1,1,1,1,1,1,1,1,1,1,1,43,4,2, ,4,3,1,2,2, , , , ,4,2, ,3,2,2, , ,12009,U,3,12,3,4.29411764705882,1.5103129060645
100188,1,93016,1,1,1,1, ,3,2,2,4,1,3,2,1,3,1,2,2,2,4,2,1,1,1,1,1,2,2,2, , , ,2, , , ,2,2,2,0,0,0,0,4,2, , ,2,2,4, ,1, ,2,2,3,1,2,2,3,1,4,1,1,2,1,1,1,1,1,1,2,1,2,3, ,1,1,1,1,1,1,1,1,1,2,2,71,6,2, ,8,3,2,2,1, , , , ,3,2, ,4,1, , , ,9003,S,1,9,4,3.23529411764706,1.1379069840212
100190,1,100416,1,1,1,1, ,3,3,2,4,1,1,2,3,1,2,4,4,2,4,2,1,1,1,2,1,2,1,2,2, , ,1,2, ,1,2,2,2,1,1,1,0,1,1, ,1,1,1,1,1,2,3,2,1,1,2,1,2,1,4,2,2,1,2,1,1,2,1,1,1,2,1,1,3,2,1,2,2,1,1,1,2,1,1,1,2,54,3,2, ,5,1,2,2,1, , , , ,3,3,8,3,2,2, , ,42055,S,1,42,2,3.61764705882353,1.27238690031461
100193,1,93016,1,1,1,2, ,4,1,1,2,2,4,1,1,2,1,4,3,1,4,3,2,1,1,1,1,1,1,1,1,2, ,1, ,1,2,1,1,1,2,0,2,0,1,1,1,4,4,4,4,2,4, ,2,4,4,4,3,3,3,2,4,4,1,4,1,1,1,1,1,1,1,2,3,3, ,2,2,2,2,2,2,2,2,1,1,1,80,1,2, ,8,3,2,2,1, , , , ,8,1, ,2,2,2, , ,12119,U,3,12,2,1.08823529411765,.382750530988949
100195,1,110416,1,1,1,2, ,3,1,1,1,1,1,4,1,4,1,4,2,1,4,4,2,1,2,1,1,1,1,1,1,2, ,1, ,1,1,2,1,1,4,2,1,4,1,2,3,1,4,4,2,2,2,4,2,2,2,4,2,3,1,1,4,4,2,4,1,1,1,2,1,1,2,2,3,3, ,2,2,2,2,2,2,2,2,1,1,1,57,1,2, ,6,1,2,2,1, , , , ,99,1, ,2,6,4, , ,36065,U,1,36,2,1.67647058823529,.589642709901894
100196,1,93016,1,1,1,2, ,3,4,4,2,3,2,1,1,4,2,2,4,1,2,2,1,2,1,1,1,2,2,2, , , ,2, , , ,2,2,2,0,0,0,0,2,2, , ,4,4,4, ,2, ,2,4,2,4,2,4,1,1,3,1,2,4,1,1,1,2,1,1,2,2,3,3, ,2,2,2,2,2,2,2,2,1,1,1,68,3,2, ,5,3,1,2,9, , , , ,99,3,2,3,1, , , ,47065,S,3,47,3,5.35294117647059,1.8827188281078
