psraid,sample,int_date,lang,comp,version,form,qs1,live1,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q1i,q2a,q2b,q2c,q2d,q2e,q3a,q3b,q3c,q3d,q3e,q3f,eminuse,intmob,home3nw,bbhome1,bbhome2,device1a,smart1,smart2,snsint2,device1b,device1c,device1d,devicehha,devicehhb,devicehhc,devicehhd,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q5,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,q10g,libusea,libuseb,libusec,libmob,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,reg,oftvote,sex,age,marital,par,kidage1,educ2,emplnw,disa,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,party,partyln,ideo,hh1,hh3,ql1a,qc1,fips,usr,cregion,state,density,weight,standwt
204361,2,100816,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,3,1,1,4,1,1,1,1,1,1,1,1,1,1,2, , ,1, ,1,2,1,1,3,1,1,0,1,1,2,2,1,1,2,2,1,3,2,1,2,2,2,2,1,1,3,3,2,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,3, ,2,28,6,1,1,3,1,2,1,7, , , ,3,2,3,2,3,6,1, ,1,48029,U,3,48,4,2.67647058823529,.941359414053901
204366,2,100816,1,1,1,2,2,1,1,1,1,1,1,2,1,1,4,2,1,1,4,4,2,2,2,2,2,2,2,1,1,2, , , ,1,1,2,2,2,3,0,0,1,4,3,4,1,1,1,3,3,4,1,1,1,4,1,1,4,1,4,3,2,1,3,1,2,1,2,2,2,2,1,3,3, ,1,1,1,1,1,1,1,1,1,1,1,57,6,2, ,1,4,1,2,2, , , , ,2,1, ,3,3,3, ,2,47157,U,3,47,4,3.23529411764706,1.1379069840212
204370,2,100816,1,1,1,1,2,3,2,2,3,2,3,2,3,2,2,2,3,1,2,3,1,2,1,1,1,1,1,1,1,2, , ,1, ,1,2,1,1,2,3,2,1,2,2,3,2,4,4,3,2,2,2,2,1,2,1,2,3,1,3,2,4,2,1,2,1,1,1,1,1,1,2,2,3, ,1,1,1,1,1,1,2,1,2, ,1,47,2,2, ,6,1,2,2,1, , , , ,9,2, ,3,2,2, ,1,36061,U,1,36,5,1.88235294117647,.662054972521425
204372,2,101016,1,1,1,1,2,4,3,1,4,1,1,2,2,2,1,4,3,1,4,4,2,1,2,1,1,1,1,1,1,2, , ,1, ,1,2,2,1,2,1,1,1,3,1,2,2,4,4,3,1,2,3,2,2,2,2,1,3,2,2,4,2,2,2,1,1,2,1,1,1,2,1,1,3,2,1,2,1,2,2,1,2,2,1,1,2,37,1,1,2,8,1,2,2,1, , , , ,6,2, ,4,4,2, ,2,50021,R,1,50,1,2.35294117647059,.827568715651781
204375,2,100816,1,1,1,2,2,1,1,1,4,2,2,3,1,2,1,4,2,1,3,3,2,1,1,1,1,1,1,1,1,2, , , ,1,1,2,1,1,2,1,3,2,3,1,1,2,3,3,1,1,1,3,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3, ,1,2,2,2,1,1,2,1,1,2,1,31,6,2, ,8,1,2,2,1, , , , ,8,3,2,4,2,2, ,2,36061,U,1,36,5,3.58823529411765,1.26204229136897
204376,2,101016,1,1,1,1,2,2,2,4,3,2,1,1,1,2,3,1,3,2,3,4,2,1,1,1,1,1,1,1,1,2, , ,1, ,1,1,2,1,4,0,2,1,2,3,3,1,4,3,3,1,2,3,1,1,2,3,1,2,1,4,3,2,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,35,1,1,0,6,1,2,2,1, , , , ,7,1, ,3,4,2, ,2,18057,S,2,18,3,2.55882352941176,.899980978271312
204388,2,100816,1,1,1,2,2,1,1,3,4,3,1,1,1,4,2,2,2,1,4,2,1,1,1,1,1,2,1,1,1,2, , , ,1,2,2,2,1,5,5,5,0,2,2,2,4,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,3,3, ,1,1,1,1,2,1,1,1,2, ,2,39,3,2, ,4,1,2,2,3, , , , ,4,4,9,9,5,4, ,2,25017,S,1,25,4,5.79411764705882,2.03788796229251
204391,2,102716,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,3,4,2,1,1,1,1,1,1,1,1,2, , ,1, ,2,2,2,1,4,4,4,0,4,2,4,9,4,4,4,1,4, ,2,3,4,3,2,2,1,1,4,1,2,2,8,1,1,9,1,1,1,3,3,3, ,1,2,2,2,2,2,2,2,1,1,1,53,1,1,0,4,1,2,2,1, , , , ,98,3,9,9,4,2, ,1,17031,S,2,17,5,3.64705882352941,1.28273150926026
204393,2,100816,1,1,1,2,2,1,1,1,4,1,3,1,3,3,3,3,1,1,4,2,2,1,1,1,1,2,1,1,1,2, , , ,1,1,1,1,1,1,1,1,0,3,1,1,1,3,3,3,1,3,3,2,1,2,2,2,1,2,4,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,65,3,2, ,4,1,2,2,1, , , , ,8,1, ,2,1, , ,2,48453,U,3,48,4,2,.703433408304014
204396,2,100816,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,4,2,1,3,4,2,1,1,1,1,1,1,1,1,2, , , ,1,1,2,1,1,2,2,2,3,1,1,1,3,1,1,1,2,1,4,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,3,3, ,1,1,1,1,2,1,2,1,1,1,2,75,5,2, ,7,1,2,2,1, , , , ,8,2, ,3,3,3, ,1,25001,S,1,25,3,1.29411764705882,.45516279360848
