"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x526632018","x1073020189245988864",2018-12-13 01:02:03,"DouglassMullins","“Racist” Trump just signed an executive order for urban revitalization to help lift blacks out of poverty. This order will incentivize companies to invest in black neighborhoods bringing jobs &amp; opportunity. It also gives business loans to help start ups. Zero Media attention. https://t.co/XIzlUKuICX","Twitter for iPhone",139,,,,FALSE,TRUE,0,17338,,,,,,,,,,,,,,"x762389795037294592","TheRightMelissa","en",,,,,,,,,,,,,,,,"x1072986879404969984","“Racist” Trump just signed an executive order for urban revitalization to help lift blacks out of poverty. This order will incentivize companies to invest in black neighborhoods bringing jobs &amp; opportunity. It also gives business loans to help start ups. Zero Media attention. https://t.co/XIzlUKuICX",2018-12-12 22:49:41,"Twitter for iPhone",29708,17338,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1073020189245988864","MAGA Raptor","San Jose, CA","MAGA! Drain the Swamp! Deplorable, Pro Life, Climate Skeptic, Golf, Snow & Water Ski, Dog Advocate,  Who is John Galt?  Construction Material Sales",,FALSE,287,1534,2,174,215,2012-03-16 17:48:20,FALSE,,,"en","https://pbs.twimg.com/profile_banners/526632018/1480298105","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/834168807014821888/4DW9tuyv_normal.jpg"
"x98915343","x1072921326166401024",2018-12-12 18:29:12,"HeIsRisen7","Remember when #Obama was fined 4 illegal campaign donations totaling a cool $375,000?  Neither do I. Lawlessness is 1 sided &amp; Obama is the liberal messiah so he even got a pass when he droned innocent people. 

Somethings gotta give...anybody else fed up?
https://t.co/77rroaAA0c","Twitter for Android",144,,,,FALSE,TRUE,0,877,"Obama",,,,,,,,,,,,,"x553224712","CB618444","en",,,,,,,,,,,,,,,,"x1072228449459339269","Remember when #Obama was fined 4 illegal campaign donations totaling a cool $375,000?  Neither do I. Lawlessness is 1 sided &amp; Obama is the liberal messiah so he even got a pass when he droned innocent people. 

Somethings gotta give...anybody else fed up?
https://t.co/77rroaAA0c",2018-12-10 20:35:58,"Twitter Web Client",978,877,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1072921326166401024","Conqueror23 #MAGA #KAG #B2 #WALKAWAY #NONWO","","Truth is stranger than fiction.",,FALSE,314,646,0,1647,1327,2009-12-23 16:41:01,FALSE,,,"en","https://pbs.twimg.com/profile_banners/98915343/1363013315","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1025998868754915329/eumLCQiH_normal.jpg"
"x925500845684330496","x1015764181545611269",2018-07-08 01:07:07,"TrumpGurlMaga50","Cyberstalking nightmare: 5 questions answered about Jillian Sticka https://t.co/wLphpbKOxd https://t.co/fBX21aEQkW","Twitter for iPhone",126,,,,FALSE,TRUE,0,4,,,"on.whio.com/2tWTn7q","https://t.co/wLphpbKOxd","https://on.whio.com/2tWTn7q","http://pbs.twimg.com/media/DhajRHTX0AII3ni.jpg","https://t.co/fBX21aEQkW","https://twitter.com/whiotv/status/1015178292826136576/photo/1","photo","http://pbs.twimg.com/media/DhajRHTX0AII3ni.jpg","https://t.co/fBX21aEQkW","https://twitter.com/whiotv/status/1015178292826136576/photo/1",,"x23077947","whiotv","en",,,,,,,,,,,,,,,,"x1015178292826136576","Cyberstalking nightmare: 5 questions answered about Jillian Sticka https://t.co/wLphpbKOxd https://t.co/fBX21aEQkW",2018-07-06 10:19:00,"SocialNewsDesk",8,4,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1015764181545611269","Ms. Jenny to you","Ohio ","Proud Deplorable | Wifey to a Patriot | Trump - #MAGA | 😘 🇺🇸🇺🇸 🇺🇸🇺🇸",,FALSE,372,689,1,42,11,2017-10-31 23:12:51,FALSE,,,"en","https://pbs.twimg.com/profile_banners/925500845684330496/1509492131",,"http://pbs.twimg.com/profile_images/925503115364888576/spl8x1DH_normal.jpg"
"x2467237093","x1082691597899366401",2019-01-08 17:32:47,"kravmagarenton","Woman survives stabbing by Tinder date, man dies in police custody https://t.co/kigIXvU1WO","Facebook",90,,,,FALSE,FALSE,0,0,,,"kiro7.com/news/trending-…","https://t.co/kigIXvU1WO","https://www.kiro7.com/news/trending-now/woman-survives-stabbing-by-tinder-date-man-dies-in-police-custody/896455138",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1082691597899366401","Krav Maga Renton","Renton","","http://t.co/LesNCb3iGt",FALSE,246,44,2,904,1,2014-04-28 05:01:10,FALSE,"http://t.co/LesNCb3iGt","http://kravmagarenton.com/","en","https://pbs.twimg.com/profile_banners/2467237093/1398696362","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/460762726482980864/OgfCyeke_normal.jpeg"
"x854133665403736064","x1037729500468011009",2018-09-06 15:49:27,"RilesMaga","@Lady_Vi_2U Ive thought from the beginning that Pence is the source of most WH leaks &amp; it looks likely hes the author of this NYT piece. Hes been running a soft-coup from day one

Think abt it..his name hasnt come up hardly at all in the Russia investigation which has involved everyone else?","Twitter for Android",284,"x994223722381922305","x921054727198126081","Lady_Vi_2U",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x921054727198126081","Lady_Vi_2U","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1037729500468011009","🇺🇸RileyT🇺🇸","Texas, USA","Dixie Conservative. More Gun powder & lead than sugar & spice! Tech & marketing. Patriot 1st #MAGA 2nd.",,FALSE,195,201,16,2064,179,2017-04-18 00:45:09,FALSE,,,"en","https://pbs.twimg.com/profile_banners/854133665403736064/1492482935",,"http://pbs.twimg.com/profile_images/854161459932262400/Lc7KQ4Kj_normal.jpg"
"x60822314","x1080011479875645440",2019-01-01 08:02:57,"chrisharper13","Happy new year to you and your family... Onwards and upwards in 2019","Twitter for Android",68,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1080011479875645440","Chris Harper 🇺🇸👊🦅#MAGA","California, USA","Husband of a wonderful wife, father to 3 beautiful girls and living life by the Golden rule. #Conservative #MAGA #draintheswamp #buildthewall #potusrules",,FALSE,59,276,0,576,371,2009-07-28 05:31:39,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/637374965751279616/2NRdLIWJ_normal.jpg"
"x458000128","x1085637560125161472",2019-01-16 20:38:59,"MayoSaladd","@fireox9 https://t.co/7grlpQuvJS","Twitter for iPhone",0,"x1085637215609344000","x1043341995220058112","fireox9",FALSE,FALSE,1,0,,,,,,"http://pbs.twimg.com/tweet_video_thumb/DxD1moZUcAASZP6.jpg","https://t.co/7grlpQuvJS","https://twitter.com/MayoSaladd/status/1085637560125161472/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DxD1moZUcAASZP6.jpg","https://t.co/7grlpQuvJS","https://twitter.com/MayoSaladd/status/1085637560125161472/photo/1",,"x1043341995220058112","fireox9","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1085637560125161472","✨Maya Angelina✨","UCLA","do no harm - take no sh*t 🦄 ♈️ #GG33Student #MAGA #5LP ☯️ 🇺🇸 💋 taught by master mind @numerologynow",,FALSE,1218,525,9,22079,16523,2012-01-08 02:19:49,FALSE,,,"en","https://pbs.twimg.com/profile_banners/458000128/1544675122","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1072811090982035458/w2LdTn6P_normal.jpg"
"x14205490","x1057700354589110273",2018-10-31 18:26:30,"Handbags4Hunger","CNN and others in the Fake News Business keep purposely and inaccurately reporting that I said the “Media is the Enemy of the People.” Wrong! I said that the “Fake News (Media) is the Enemy of the People,” a very big difference. When you give out false information - not good!","Twitter Web Client",140,,,,FALSE,TRUE,0,33614,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,"x1057059603605831680","CNN and others in the Fake News Business keep purposely and inaccurately reporting that I said the “Media is the Enemy of the People.” Wrong! I said that the “Fake News (Media) is the Enemy of the People,” a very big difference. When you give out false information - not good!",2018-10-30 00:00:23,"Twitter for iPhone",120888,33614,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1057700354589110273","Lisa Stadtmueller","Oshkosh, WI","🇺🇸New Yorker by birth, Lawyer⚖️ by education, Cat Lady🐱 by choice. #AutismMom👨‍👩‍👧‍👦 #FooFighters🎸#Jesus✝️#MAGA🇺🇸#walkaway","https://t.co/RsXDJyrpoW",FALSE,2421,2077,39,2410,752,2008-03-24 04:27:06,FALSE,"https://t.co/RsXDJyrpoW","https://about.me/lisapasta","en","https://pbs.twimg.com/profile_banners/14205490/1519221358","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/906155982123917313/DPsPOjAC_normal.jpg"
"x3364522525","x995262912028663808",2018-05-12 11:22:23,"MAGA_USMC_USN","Wasn't Obama the ""scandal free"" President? 🙄 https://t.co/vYoF8toBt6","Twitter Web Client",44,,,,FALSE,FALSE,0,0,,,"twitter.com/DropTheTidePod…","https://t.co/vYoF8toBt6","https://twitter.com/DropTheTidePod/status/994961569791397890",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/995262912028663808","🇺🇸 JewTrumplican 🇮🇱","Watching World Collapse","#LiberalismIsAMentalDisease #MAGA Combat #USMC #VietnamVet Pro_Israel🇮🇱  #VoteRed2018🐘 as if your LIFE🏡 and your COUNTRY🇺🇸 depend on it, BCUZ THEY DO💯",,FALSE,247,101,4,1661,58,2015-08-27 23:30:20,FALSE,,,"en","https://pbs.twimg.com/profile_banners/3364522525/1525854690","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/995243040167034880/BNktqDVi_normal.jpg"
"x211756118","x1085640985382699016",2019-01-16 20:52:35,"RickPorterSEO","I liked a @YouTube video https://t.co/jDEu8BI4Eh Sony a7 III Full-frame Mirrorless Interchangeable-Lens Camera | Buy Sony a7 III","Google",128,,,,FALSE,FALSE,0,0,,,"youtu.be/LJ187DV1_mw?a","https://t.co/jDEu8BI4Eh","http://youtu.be/LJ187DV1_mw?a",,,,,,,,,"x10228272","YouTube","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1085640985382699016","QAnon Marines - Semper Fi","United States","Former U.S. Marine, Disciple of Jesus Christ - John 3:16 - PRAY for our country and President.   Ephesians 6:12 #QAnon #greatawakening #MAGA","https://t.co/uOl8v7lO6C",FALSE,14871,3499,67,5063,412,2010-11-04 04:33:10,FALSE,"https://t.co/uOl8v7lO6C","http://QMap.pub","en","https://pbs.twimg.com/profile_banners/211756118/1543428402","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1069302979713527809/E9Ojl7lP_normal.jpg"
