"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"UygIA7vUORqsaRGmGWV6KtJ9zfOz5eDnqaYh0td5Xkk=","UygIA7vUORqsaRGmGWV6KtJ9zfOz5eDnqaYh0td5Xkk=","UygIA7vUORqsaRGmGWV6KtJ9zfOz5eDnqaYh0td5Xkk=","Благовещенск, Россия","История журналистики - это история утечек информации.","","0","49","2017-08-18","ru"
"KkdmV3gfhzqtZ5mVOBDu1snF5mJ00HyRqO+IMPmCZpI=","KkdmV3gfhzqtZ5mVOBDu1snF5mJ00HyRqO+IMPmCZpI=","KkdmV3gfhzqtZ5mVOBDu1snF5mJ00HyRqO+IMPmCZpI=","Moscow","","","4","22","2014-06-15","ru"
"u9kY5w3DKE0teqaCpzXYVi8jTKxrQDj07u09Tgkyk0=","u9kY5w3DKE0teqaCpzXYVi8jTKxrQDj07u09Tgkyk0=","u9kY5w3DKE0teqaCpzXYVi8jTKxrQDj07u09Tgkyk0=","","","","0","58","2017-07-18","en"
"DqK+XKMGQUgWranMHLrq9MJGy+d99xZV6S4Zoe5QOyA=","DqK+XKMGQUgWranMHLrq9MJGy+d99xZV6S4Zoe5QOyA=","DqK+XKMGQUgWranMHLrq9MJGy+d99xZV6S4Zoe5QOyA=","","","","0","49","2017-06-29","ru"
"0d4uaJgb2PZo3VsAeeMAu8JbYUF7yCwJKs8hj8logI=","0d4uaJgb2PZo3VsAeeMAu8JbYUF7yCwJKs8hj8logI=","0d4uaJgb2PZo3VsAeeMAu8JbYUF7yCwJKs8hj8logI=","","Live in Dubai, love luxary life","","0","0","2020-10-20","en"
"jojLxZcI9SkOiwlXXEPoFZroK+9nznIlyffMbNRzhP8=","jojLxZcI9SkOiwlXXEPoFZroK+9nznIlyffMbNRzhP8=","jojLxZcI9SkOiwlXXEPoFZroK+9nznIlyffMbNRzhP8=","","","","2","155","2019-01-22","en"
"wRkYijXV62nzHokLEXPc1QEln1fzfOxZpJuziAwY4bc=","wRkYijXV62nzHokLEXPc1QEln1fzfOxZpJuziAwY4bc=","wRkYijXV62nzHokLEXPc1QEln1fzfOxZpJuziAwY4bc=","","","","358","396","2017-03-19","ru"
"HNtmuufI4jwPv2p+ZEh0OlB04GG6urP2dl9IojYzso=","HNtmuufI4jwPv2p+ZEh0OlB04GG6urP2dl9IojYzso=","HNtmuufI4jwPv2p+ZEh0OlB04GG6urP2dl9IojYzso=","","","","0","0","2019-04-27","en"
"yCE6QGGRX4Lvm3hKCwS5Y4WlwhS4t5FhtV44LeUM=","yCE6QGGRX4Lvm3hKCwS5Y4WlwhS4t5FhtV44LeUM=","yCE6QGGRX4Lvm3hKCwS5Y4WlwhS4t5FhtV44LeUM=","","Free Syrian journalist, trying to change the situation in my country!","","41","113","2020-09-24","en"
"aLri5rrrycj0FmIvjxHre7oteCvNFIZssJFpgDy8Cbk=","aLri5rrrycj0FmIvjxHre7oteCvNFIZssJFpgDy8Cbk=","aLri5rrrycj0FmIvjxHre7oteCvNFIZssJFpgDy8Cbk=","","","","0","0","2020-01-22","en"
"s0xfhM79VPodWqOlMIjpg7OMNRPavmgnOumtsRvZRZE=","s0xfhM79VPodWqOlMIjpg7OMNRPavmgnOumtsRvZRZE=","s0xfhM79VPodWqOlMIjpg7OMNRPavmgnOumtsRvZRZE=","","","","8","238","2017-08-21","ru"
