"","X","mergeid","sample","int_date","phase","fcall","attempts","refusal","stimes","ilang","p1version","cregion","state","density","usr","scregion","sstate","susr","igender","irace","llitext1","llitext2","qs1","cpitext1","cpitext2","qa1","qa1a","qb2","qb3","qb4","qa12","qa14a","qa14b","qa14c","qa14d","qa14e","qa15a","qa15b","qb18a","qb18b","q25a","q25b","q25c","q25d","q25f","q25g","q25i","q25k","q25n","q25p","qa26","qa27","qb27","qb28","qb29","qa30","qb30","qb31","oftvote","qb32","qb33","qb33a","cheat","qa36a","qa36b","qa36c","qa36d","qa37a","qa37b","qa37c","qa37d","q40","qb42a","qb42b","qb42c","qb42d","qb46","q50r","q50u","q50y","q50aa","q50cc","q50ee","q50hh","qbx","qe2","qe1","qe3","employ1","employ7","qe11","q51jj","q51ll","q51mm","q51nn","q51pp","q51qq","q51rr","qb52","qb52x","qb53a","qb53b","qb53c","qb54","qb54a","qb55a","qb55b","qa62","qa77","qa77a","qa77b","qa78","qb80","qa126","qa126a","qa126b","qa127","qa128","qa129","qa143","ideoconsist","typogroups","sex","age","educ2","hisp","racecmb","racethn","racethn2","birth_hisp","usborn","marital","citizen","relig","chr","born","attend","income","inchi","reg","party","partyln","partystr","partysum","qb166","qb167","qa168","qa169","ideo","partyideo","hh1","hh3","adults","child","ql1","ql1a","qc1","ll","cp","money2","ckinfo","iphoneuse","hphoneuse","weight"
"389",389,1102118,1,61317,1,170613,2,0,1,1,2,4,53,2,"U",4,53,"U",1,1,1,1,NA,NA,NA,2,1,NA,NA,NA,2,1,1,1,2,1,1,2,NA,NA,2,1,2,1,1,1,2,2,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,1,1,NA,1,2,1,1,-10,1,1,71,6,2,1,1,1,NA,1,1,NA,11,1,2,2,5,NA,1,2,NA,1,2,NA,NA,NA,2,5,5,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.03225806451613
"390",390,1102119,1,61317,1,170613,1,0,1,1,2,4,8,1,"R",4,8,"R",2,3,2,1,NA,NA,NA,1,1,NA,NA,NA,1,9,1,1,1,2,2,4,NA,NA,1,2,1,2,2,2,1,1,2,NA,2,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,1,NA,2,NA,2,1,4,4,1,10,8,1,67,8,2,1,1,1,NA,1,1,NA,1,NA,9,6,7,NA,2,1,NA,1,1,NA,NA,2,NA,1,1,2,2,2,0,2,2,NA,1,0,NA,NA,1,1,4.2258064516129
"391",391,1102128,1,61817,1,170613,4,1,4,1,2,3,47,4,"S",3,47,"S",2,4,2,1,NA,NA,NA,1,2,NA,NA,NA,1,2,3,1,1,2,2,3,NA,NA,2,1,2,2,2,1,1,1,2,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,1,1,1,NA,NA,NA,NA,NA,2,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,2,NA,2,1,9,2,2,0,5,2,91,4,2,1,1,1,NA,1,5,NA,1,NA,2,2,3,NA,1,3,1,NA,1,NA,NA,1,NA,2,3,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.25806451612903
"393",393,1102132,1,61817,1,170613,3,1,3,1,2,2,17,2,"S",2,17,"S",2,1,2,1,NA,NA,NA,2,2,NA,NA,NA,2,1,3,1,2,2,2,2,NA,NA,2,1,2,1,2,1,2,1,1,NA,2,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,1,1,1,2,9,2,1,2,NA,NA,NA,NA,NA,2,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,2,NA,2,1,9,2,1,-8,3,2,67,4,2,1,1,1,NA,1,5,NA,2,NA,2,2,5,NA,1,3,9,NA,9,NA,NA,NA,NA,9,3,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.2258064516129
"394",394,1102143,1,61317,1,170613,1,0,1,1,2,3,51,3,"S",3,51,"S",1,4,2,2,NA,NA,NA,1,1,NA,NA,NA,2,3,3,2,1,2,2,3,NA,NA,1,2,1,2,2,1,1,2,2,NA,2,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,1,2,2,NA,NA,NA,NA,NA,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,9,NA,2,NA,2,2,3,3,1,8,8,1,80,6,2,1,1,1,NA,1,1,NA,1,NA,1,2,7,NA,1,1,NA,1,1,NA,NA,1,NA,2,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.2258064516129
"395",395,1102166,1,61317,1,170613,1,0,1,1,2,3,48,3,"S",3,48,"S",2,1,1,1,NA,NA,NA,1,2,NA,NA,NA,1,2,1,2,1,2,2,4,NA,NA,1,2,2,2,2,9,1,1,1,NA,2,1,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,1,9,1,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,NA,2,NA,2,1,4,3,1,4,7,1,61,6,2,1,1,1,NA,1,1,NA,13,NA,2,4,9,2,1,1,NA,2,1,NA,NA,1,NA,2,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.32258064516129
"396",396,1102172,1,61317,1,170613,1,0,1,1,2,3,48,5,"U",3,48,"U",2,3,2,1,NA,NA,NA,1,1,NA,NA,NA,1,3,1,1,1,2,2,4,NA,NA,1,2,1,2,2,2,1,1,2,NA,2,3,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,2,1,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,NA,2,NA,9,1,2,3,1,8,6,2,72,6,2,1,1,1,NA,1,3,NA,13,NA,2,2,6,NA,1,1,NA,1,1,NA,NA,1,NA,1,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.32258064516129
"397",397,1102173,1,61317,1,170613,1,0,1,1,2,2,39,1,"S",2,39,"S",1,2,2,2,NA,NA,NA,1,1,NA,NA,NA,1,2,1,3,2,2,9,8,NA,NA,1,2,1,2,2,1,1,1,1,NA,2,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,2,NA,1,1,4,3,1,6,6,1,33,3,2,1,1,1,NA,1,1,NA,13,NA,1,5,3,NA,1,3,1,NA,1,NA,NA,1,NA,2,3,4,2,2,2,2,2,NA,1,0,NA,NA,1,1,8.16129032258064
"398",398,1102176,1,61317,1,170613,1,0,1,1,2,2,29,1,"S",2,29,"S",1,1,2,1,NA,NA,NA,2,2,NA,NA,NA,1,2,1,2,2,2,2,4,NA,NA,1,1,1,1,2,2,2,2,1,NA,1,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,NA,1,2,NA,2,3,3,1,2,6,1,59,4,2,1,1,1,NA,1,1,NA,1,NA,1,3,8,NA,1,1,NA,2,1,NA,NA,2,NA,2,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.64516129032258
"399",399,1102185,1,61317,1,170613,1,0,1,1,2,2,39,1,"S",2,39,"S",1,4,1,2,NA,NA,NA,1,1,NA,NA,NA,2,2,1,9,9,2,2,4,NA,NA,1,2,1,2,2,2,2,1,2,NA,2,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,1,2,1,2,2,9,2,3,NA,NA,NA,NA,NA,1,2,1,2,9,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,1,1,NA,1,4,4,9,8,7,2,69,4,2,1,1,1,NA,1,1,NA,1,NA,1,2,6,NA,1,3,1,NA,1,NA,NA,1,NA,2,3,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.06451612903226
