"","X","mergeid","sample","int_date","phase","fcall","attempts","refusal","stimes","ilang","p1version","cregion","state","density","usr","scregion","sstate","susr","igender","irace","llitext1","llitext2","qs1","cpitext1","cpitext2","qa1","qa1a","qb2","qb3","qb4","qa12","qa14a","qa14b","qa14c","qa14d","qa14e","qa15a","qa15b","qb18a","qb18b","q25a","q25b","q25c","q25d","q25f","q25g","q25i","q25k","q25n","q25p","qa26","qa27","qb27","qb28","qb29","qa30","qb30","qb31","oftvote","qb32","qb33","qb33a","cheat","qa36a","qa36b","qa36c","qa36d","qa37a","qa37b","qa37c","qa37d","q40","qb42a","qb42b","qb42c","qb42d","qb46","q50r","q50u","q50y","q50aa","q50cc","q50ee","q50hh","qbx","qe2","qe1","qe3","employ1","employ7","qe11","q51jj","q51ll","q51mm","q51nn","q51pp","q51qq","q51rr","qb52","qb52x","qb53a","qb53b","qb53c","qb54","qb54a","qb55a","qb55b","qa62","qa77","qa77a","qa77b","qa78","qb80","qa126","qa126a","qa126b","qa127","qa128","qa129","qa143","ideoconsist","typogroups","sex","age","educ2","hisp","racecmb","racethn","racethn2","birth_hisp","usborn","marital","citizen","relig","chr","born","attend","income","inchi","reg","party","partyln","partystr","partysum","qb166","qb167","qa168","qa169","ideo","partyideo","hh1","hh3","adults","child","ql1","ql1a","qc1","ll","cp","money2","ckinfo","iphoneuse","hphoneuse","weight"
"1",1,1100009,1,61417,1,170608,4,0,4,1,2,3,13,4,"S",3,13,"S",2,2,1,2,NA,NA,NA,2,1,NA,NA,NA,2,1,1,1,1,1,4,2,NA,NA,2,1,2,1,1,1,2,1,2,NA,1,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,1,2,2,1,2,1,2,NA,NA,NA,NA,NA,2,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,1,1,NA,1,1,2,2,-8,1,1,45,8,2,2,2,2,NA,1,6,NA,13,NA,1,4,7,NA,1,2,NA,1,2,NA,NA,NA,1,5,5,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.06451612903226
"2",2,1100012,1,60817,1,170608,1,0,1,1,1,2,18,1,"R",2,18,"R",2,4,2,1,NA,NA,NA,1,1,NA,NA,NA,1,2,1,1,1,2,1,4,NA,NA,2,2,1,2,2,2,2,1,1,NA,2,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,2,NA,2,NA,2,2,4,4,1,2,7,1,54,3,2,1,1,1,NA,1,1,NA,1,NA,1,1,6,NA,1,1,NA,1,1,NA,NA,1,NA,1,1,3,3,3,0,1,NA,NA,1,1,NA,NA,2,2,4
"3",3,1100014,1,60817,1,170608,1,0,1,1,1,1,36,1,"R",1,36,"R",1,2,2,2,NA,NA,NA,1,2,NA,NA,NA,1,2,1,1,2,2,2,3,NA,NA,1,1,1,2,2,1,1,2,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,2,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,1,NA,2,NA,2,1,3,1,2,2,6,2,57,6,2,1,1,1,NA,1,1,NA,1,NA,2,3,6,NA,1,1,NA,1,1,NA,NA,2,NA,3,2,4,4,3,0,1,NA,NA,1,1,NA,NA,2,2,1.61290322580645
"5",5,1100019,1,60817,1,170608,1,0,1,1,1,2,18,3,"U",2,18,"U",2,4,1,2,NA,NA,NA,1,1,NA,NA,NA,1,3,3,2,2,2,2,4,NA,NA,1,2,5,2,2,5,1,1,2,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,2,2,1,2,1,2,1,NA,NA,NA,NA,NA,1,5,1,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,2,NA,2,1,2,3,1,7,8,1,63,6,2,1,1,1,NA,1,1,NA,1,NA,2,3,8,NA,1,1,NA,1,1,NA,NA,1,NA,2,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.25806451612903
"6",6,1100026,1,60817,1,170608,1,0,1,1,1,1,42,2,"R",1,42,"R",2,2,1,2,NA,NA,NA,2,1,NA,NA,NA,1,1,1,2,2,2,4,3,NA,NA,1,2,2,1,2,1,1,2,1,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,2,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,2,NA,1,1,NA,2,2,1,2,-2,3,1,72,5,2,1,1,1,NA,1,3,NA,1,NA,2,5,4,NA,1,3,9,NA,9,NA,NA,NA,NA,3,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.83870967741935
"7",7,1100038,1,60817,1,170608,1,0,1,1,1,3,48,5,"S",3,48,"S",2,2,2,1,NA,NA,NA,1,2,NA,NA,NA,1,9,1,1,2,2,2,3,NA,NA,1,2,2,1,5,2,1,2,1,NA,2,1,NA,NA,NA,9,NA,NA,4,NA,NA,NA,NA,1,2,1,9,9,2,9,1,1,NA,NA,NA,NA,NA,2,5,2,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,1,2,NA,3,4,1,2,0,4,2,62,5,2,1,1,1,NA,1,1,NA,13,1,1,4,2,NA,1,1,NA,2,1,NA,NA,9,NA,3,2,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,2.64516129032258
"8",8,1100039,1,61117,1,170608,3,1,3,1,2,3,48,4,"U",3,48,"U",2,2,1,1,NA,NA,NA,1,9,NA,NA,NA,9,9,3,3,3,2,2,3,NA,NA,1,2,1,2,2,1,1,1,2,NA,2,1,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,1,2,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,5,1,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,1,NA,2,NA,2,1,9,2,2,7,8,1,58,8,1,1,3,3,1,NA,1,NA,2,NA,2,4,9,1,1,1,NA,9,1,NA,NA,1,NA,3,2,4,4,3,0,1,NA,NA,1,1,NA,NA,2,2,1.35483870967742
"9",9,1100044,1,60917,1,170608,2,0,2,1,1,3,5,1,"R",3,5,"R",2,1,1,1,NA,NA,NA,1,2,NA,NA,NA,1,2,1,1,2,2,1,4,NA,NA,1,2,1,2,1,1,1,1,2,NA,2,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,1,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,1,NA,2,NA,2,1,4,2,2,6,8,1,75,6,2,1,1,1,NA,1,1,NA,1,NA,1,2,2,NA,1,3,1,NA,1,NA,NA,1,NA,1,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.09677419354839
"10",10,1100048,1,60817,1,170608,1,0,1,1,1,3,48,2,"S",3,48,"S",2,2,1,2,NA,NA,NA,1,1,NA,NA,NA,2,2,1,2,1,2,2,4,NA,NA,2,1,1,2,2,2,1,2,2,NA,2,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,1,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,2,NA,2,2,3,4,1,4,7,2,78,4,2,1,1,1,NA,1,5,NA,1,NA,1,3,3,NA,1,1,NA,1,1,NA,NA,2,NA,2,1,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.29032258064516
"13",13,1100061,1,60817,1,170608,1,0,1,1,1,2,29,4,"S",2,29,"S",1,3,1,1,NA,NA,NA,2,1,NA,NA,NA,2,3,1,1,2,1,3,2,NA,NA,2,1,2,2,2,1,1,2,2,NA,2,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,NA,1,1,NA,1,1,2,1,-2,1,1,62,6,2,1,1,1,NA,1,1,NA,1,NA,2,3,7,NA,1,3,2,NA,2,NA,NA,NA,2,2,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.25806451612903
"14",14,1100077,1,61717,1,170608,3,1,3,1,2,1,34,4,"S",1,34,"S",1,1,2,2,NA,NA,NA,2,1,NA,NA,NA,2,2,1,1,2,2,4,2,NA,NA,1,1,2,1,1,1,5,2,1,NA,1,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,2,1,2,2,1,2,2,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,1,1,NA,1,1,1,2,-7,1,2,69,8,2,1,1,1,NA,1,1,NA,12,NA,NA,5,8,NA,1,3,2,NA,2,NA,NA,NA,2,4,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.19354838709677
"15",15,1100086,1,61317,1,170608,4,1,4,1,2,3,48,2,"S",3,48,"S",2,2,2,1,NA,NA,NA,2,9,NA,NA,NA,2,1,9,1,9,1,1,2,NA,NA,2,1,9,9,9,9,1,1,2,NA,9,9,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,9,1,9,9,2,9,1,1,4,NA,NA,NA,NA,NA,9,9,2,2,1,2,5,NA,NA,NA,NA,NA,NA,NA,9,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,9,NA,9,NA,NA,1,9,9,9,0,5,2,74,3,2,1,1,1,NA,1,1,NA,12,NA,NA,5,1,NA,1,2,NA,1,2,NA,NA,NA,1,9,9,2,2,2,0,2,1,NA,1,0,NA,NA,1,2,8.16129032258064
"17",17,1100093,1,61717,1,170608,4,1,4,1,2,3,37,1,"R",3,37,"R",1,2,1,2,NA,NA,NA,1,1,NA,NA,NA,2,2,1,1,2,2,2,1,NA,NA,2,1,1,2,5,2,1,1,1,NA,1,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,2,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,2,NA,2,2,4,4,2,-1,6,2,31,5,2,1,1,1,NA,1,3,NA,1,NA,1,3,2,NA,1,3,1,NA,1,NA,NA,1,NA,2,3,3,1,1,2,1,NA,NA,1,1,NA,NA,2,2,4.54838709677419
"18",18,1100094,1,60817,1,170608,2,0,2,1,1,3,37,2,"S",3,37,"S",2,2,1,1,NA,NA,NA,2,1,NA,NA,NA,2,2,1,1,3,1,2,2,NA,NA,2,2,1,2,2,1,2,1,2,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,9,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,NA,2,NA,2,1,2,1,2,0,5,1,76,8,2,1,1,1,NA,1,1,NA,1,NA,2,2,8,NA,1,1,NA,1,1,NA,NA,1,NA,2,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.2258064516129
"19",19,1100096,1,61317,1,170608,4,1,4,1,2,3,48,1,"R",3,48,"R",1,3,2,1,NA,NA,NA,1,1,NA,NA,NA,1,9,1,2,1,2,2,4,NA,NA,1,2,1,2,2,2,1,2,2,NA,2,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,1,2,2,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,1,NA,2,NA,2,3,3,3,1,10,7,2,64,4,2,1,1,1,NA,1,1,NA,1,NA,1,2,6,NA,1,1,NA,1,1,NA,NA,2,NA,2,1,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.45161290322581
"20",20,1100106,1,60817,1,170608,1,0,1,1,1,1,34,2,"S",1,34,"S",2,1,2,2,NA,NA,NA,9,NA,NA,NA,NA,1,3,1,1,1,2,2,2,NA,NA,1,1,1,1,5,1,5,1,1,NA,1,3,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,1,1,1,2,2,2,2,1,4,NA,NA,NA,NA,NA,2,1,2,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,5,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,1,2,NA,1,2,2,2,-4,3,1,59,4,2,1,1,1,NA,1,1,NA,1,NA,2,4,5,NA,3,3,2,NA,2,NA,NA,NA,1,4,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,2
"21",21,1100107,1,60817,1,170608,1,0,1,1,1,3,37,1,"R",3,37,"R",1,3,2,2,NA,NA,NA,2,2,NA,NA,NA,2,2,2,2,2,1,4,3,NA,NA,2,1,2,2,2,1,5,2,1,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,1,1,NA,1,2,2,1,-5,3,1,68,8,2,9,NA,9,NA,1,6,NA,11,2,NA,6,8,NA,1,3,2,NA,2,NA,NA,NA,2,3,3,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1
"22",22,1100108,1,60817,1,170608,1,0,1,1,1,2,55,3,"U",2,55,"U",2,2,1,1,NA,NA,NA,2,1,NA,NA,NA,2,1,2,1,3,1,4,3,NA,NA,2,1,2,1,1,1,2,2,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,1,NA,1,1,NA,1,1,2,2,-10,1,2,72,6,2,1,1,1,NA,1,1,NA,1,NA,2,6,9,1,1,3,2,NA,2,NA,NA,NA,2,5,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.12903225806452
"23",23,1100110,1,61017,1,170608,2,1,2,1,2,3,40,4,"S",3,40,"S",1,1,1,2,NA,NA,NA,1,2,NA,NA,NA,2,1,1,1,1,2,2,3,NA,NA,1,2,1,2,2,1,1,1,2,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,1,2,2,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,1,NA,2,NA,2,1,3,3,1,8,8,1,86,6,2,1,1,1,NA,1,5,NA,1,NA,1,2,5,NA,1,1,NA,1,1,NA,NA,1,NA,2,1,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1
"24",24,1100116,1,60817,1,170608,1,0,1,1,1,2,26,2,"S",2,26,"S",2,4,2,2,NA,NA,NA,1,1,NA,NA,NA,1,2,9,1,1,1,2,3,NA,NA,2,1,9,2,2,9,1,2,2,NA,1,1,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,2,1,9,1,1,2,1,2,1,NA,NA,NA,NA,NA,2,2,1,9,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,NA,2,NA,2,NA,2,2,9,4,9,2,5,1,83,6,2,1,1,1,NA,1,5,NA,12,NA,NA,6,7,NA,1,1,NA,1,1,NA,NA,1,NA,2,1,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1
"25",25,1100117,1,60817,1,170608,1,0,1,1,1,1,36,4,"S",1,36,"S",2,2,2,2,NA,NA,NA,1,1,NA,NA,NA,1,2,1,2,2,2,2,4,NA,NA,1,2,1,2,2,2,5,5,2,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,1,NA,2,NA,2,1,2,3,1,7,8,2,48,5,2,4,4,5,NA,1,3,NA,2,NA,2,5,5,NA,1,1,NA,1,1,NA,NA,9,NA,2,1,3,3,3,0,1,NA,NA,1,1,NA,NA,2,2,5.45161290322581
"26",26,1100126,1,60817,1,170608,1,0,1,1,1,3,12,1,"R",3,12,"R",2,4,1,2,NA,NA,NA,1,1,NA,NA,NA,2,3,3,1,1,2,2,4,NA,NA,2,1,1,2,2,2,1,1,2,NA,1,1,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,2,1,1,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,2,NA,2,1,3,2,1,6,7,2,80,6,2,1,1,1,NA,1,2,NA,1,NA,1,3,4,NA,1,3,1,NA,1,NA,NA,1,NA,1,3,3,3,3,0,2,2,NA,1,0,NA,NA,1,1,5.32258064516129
"27",27,1100129,1,60817,1,170608,1,0,1,1,1,1,36,5,"S",1,36,"S",1,2,2,1,NA,NA,NA,1,1,NA,NA,NA,1,3,9,2,9,2,3,3,NA,NA,2,1,1,2,5,5,1,1,1,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,2,1,2,NA,NA,NA,NA,NA,2,9,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,NA,2,NA,2,1,3,2,2,-1,5,2,50,8,2,1,1,1,NA,1,1,NA,12,NA,NA,6,9,1,1,1,NA,2,1,NA,NA,9,NA,3,2,4,4,3,0,1,NA,NA,1,1,NA,NA,2,2,2.35483870967742
"28",28,1100131,1,61017,1,170608,3,0,2,1,2,3,48,1,"R",3,48,"R",2,2,1,1,NA,NA,NA,2,1,NA,NA,NA,1,2,1,1,1,1,4,1,NA,NA,2,2,2,1,1,1,2,1,2,NA,1,2,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,1,2,2,1,2,1,2,NA,NA,NA,NA,NA,2,9,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,2,NA,2,1,9,2,9,-5,2,2,61,5,2,2,2,2,NA,1,3,NA,1,NA,1,3,3,NA,1,2,NA,1,2,NA,NA,NA,1,3,4,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.48387096774194
"29",29,1100138,1,60917,1,170608,2,0,2,1,1,2,26,3,"U",2,26,"U",1,3,1,2,NA,NA,NA,2,1,NA,NA,NA,2,1,1,1,1,1,4,2,NA,NA,2,1,2,1,1,1,2,2,1,NA,2,2,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,2,NA,1,1,NA,1,1,1,2,-10,1,2,70,8,2,1,1,1,NA,1,6,NA,1,NA,2,5,4,NA,1,2,NA,1,2,NA,NA,NA,1,4,5,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1
"30",30,1100147,1,60817,1,170608,1,0,1,1,1,3,37,2,"R",3,37,"R",2,2,1,1,NA,NA,NA,1,1,NA,NA,NA,1,2,1,2,2,2,2,4,NA,NA,1,2,1,1,2,2,1,2,2,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,NA,2,NA,2,1,4,3,1,8,7,1,73,4,2,1,1,1,NA,1,1,NA,12,NA,NA,4,5,NA,1,1,NA,2,1,NA,NA,2,NA,3,2,3,2,2,1,1,NA,NA,1,1,NA,NA,2,2,1.80645161290323
"31",31,1100148,1,60817,1,170608,1,0,1,1,1,1,9,4,"S",1,9,"S",1,2,1,2,NA,NA,NA,2,1,NA,NA,NA,2,1,1,1,2,1,4,2,NA,NA,2,1,2,9,1,1,2,5,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,1,1,NA,1,1,2,2,-9,1,2,68,6,2,1,1,1,NA,1,3,NA,1,NA,2,3,5,NA,1,2,NA,1,2,NA,NA,NA,1,5,5,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1
"32",32,1100149,1,61817,1,170608,6,0,6,1,2,2,18,2,"R",2,18,"R",1,2,2,2,NA,NA,NA,1,1,NA,NA,NA,1,3,1,2,1,2,2,4,NA,NA,1,2,2,2,2,9,1,1,2,NA,2,3,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,NA,2,NA,2,2,4,4,1,7,7,1,37,3,2,1,1,1,NA,1,1,NA,13,NA,2,5,5,NA,1,3,1,NA,1,NA,NA,2,NA,2,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,5.7741935483871
"33",33,1100154,1,60817,1,170608,1,0,1,1,1,3,13,3,"U",3,13,"U",2,2,1,2,NA,NA,NA,2,1,NA,NA,NA,1,1,3,1,1,2,4,4,NA,NA,1,1,5,2,2,1,1,1,1,NA,2,3,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,1,2,1,2,2,2,1,1,1,NA,NA,NA,NA,NA,2,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,1,1,NA,1,4,2,1,1,3,1,53,8,2,2,2,2,NA,1,1,NA,1,NA,1,2,8,NA,1,2,NA,1,2,NA,NA,NA,2,2,4,4,4,3,0,1,NA,NA,1,1,NA,NA,2,2,1.80645161290323
"34",34,1100156,1,60817,1,170608,1,0,1,1,1,2,39,4,"S",2,39,"S",1,3,1,1,NA,NA,NA,2,1,NA,NA,NA,1,1,2,1,2,1,4,2,NA,NA,2,1,2,1,1,1,2,2,1,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,2,NA,1,1,NA,1,1,1,1,-10,1,1,63,8,2,1,1,1,NA,1,1,NA,12,NA,NA,6,7,NA,1,2,NA,1,2,NA,NA,NA,2,4,5,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.25806451612903
"35",35,1100162,1,60817,1,170608,1,0,1,1,1,2,18,3,"S",2,18,"S",2,2,2,2,NA,NA,NA,2,1,NA,NA,NA,1,1,1,1,2,1,3,2,NA,NA,2,1,2,1,1,1,1,1,1,NA,2,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,1,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,1,2,NA,1,1,1,2,-8,2,1,44,8,2,1,1,1,NA,1,1,NA,1,NA,2,3,9,1,1,2,NA,1,2,NA,NA,NA,1,3,4,5,3,3,2,1,NA,NA,1,1,NA,NA,2,2,2.35483870967742
"36",36,1100168,1,60817,1,170608,1,0,1,1,1,1,34,5,"U",1,34,"U",1,2,2,1,NA,NA,NA,9,NA,NA,NA,NA,2,2,2,2,2,2,1,1,NA,NA,1,1,1,1,1,1,2,1,1,NA,1,3,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,1,2,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,1,2,NA,2,3,1,2,-4,2,1,56,3,2,1,1,1,NA,1,4,NA,2,NA,2,2,2,NA,2,4,9,NA,9,NA,NA,NA,NA,4,9,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,3.80645161290323
"37",37,1100170,1,61417,1,170608,4,1,4,1,2,1,25,3,"S",1,25,"S",2,3,1,2,NA,NA,NA,1,1,NA,NA,NA,2,2,1,2,9,2,3,4,NA,NA,1,2,1,2,2,2,1,1,2,NA,2,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,1,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,2,NA,1,2,4,4,1,10,8,2,75,3,2,1,1,1,NA,1,1,NA,1,NA,1,2,6,NA,1,1,NA,1,1,NA,NA,2,NA,2,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,4.09677419354839
