ID,INCOME,RACE,SEX,SELF_ESTEEM
818,13000,3,1,30
820,3500,3,2,27
821,650,3,2,21
822,23000,3,1,28
824,1100,3,2,30
825,1000,3,1,24
826,300,3,1,19
827,5200,3,1,30
829,3000,3,2,23
830,0,2,2,27
834,0,2,2,22
836,744,1,2,20
837,2200,2,1,18
839,2000,2,2,24
840,0,2,2,17
841,4000,3,2,30
842,0,3,2,20
847,7600,2,1,26
849,792,3,2,27
851,5048,3,1,24
853,10500,3,1,24
855,5000,3,2,26
856,1050,3,2,22
862,0,3,2,24
863,9500,3,1,26
865,3500,3,1,27
868,950,3,1,24
872,4900,3,1,23
875,5000,3,2,28
876,5080,3,2,27
881,2700,3,1,24
884,1000,3,2,21
886,700,3,2,21
887,250,3,2,20
888,10000,3,1,26
889,2500,3,2,22
890,2500,3,1,30
891,4452,3,1,29
893,6172,3,2,23
896,400,3,2,24
899,600,3,1,19
907,2000,3,1,27
910,9130,2,1,22
912,4000,3,2,24
916,7500,3,1,28
917,2400,3,1,27
919,2500,3,1,20
922,5000,3,1,26
925,4500,3,1,26
926,1600,3,2,26
927,14000,3,1,27
928,1500,3,2,19
931,11000,3,1,24
932,600,3,2,23
934,800,3,1,24
935,6000,3,2,25
940,4000,3,2,21
941,5200,3,1,20
943,6300,3,2,24
944,1700,3,1,30
945,3000,3,1,18
947,17000,3,1,21
953,1000,3,2,21
954,400,3,2,24
955,3000,3,1,20
958,27000,3,1,23
959,800,3,1,30
960,3000,3,1,20
965,5000,3,1,21
968,4000,3,1,19
969,4800,3,2,18
970,6000,3,1,18
974,3100,3,2,22
976,100,3,2,25
978,1300,3,2,29
979,1000,3,2,30
980,14000,3,1,25
981,3450,3,2,24
983,3000,3,1,24
984,1400,3,1,24
985,4000,3,1,24
987,5000,3,1,19
989,1100,3,2,29
990,7000,3,1,24
992,6000,3,2,20
995,6300,3,2,22
996,3000,3,1,20
998,3000,3,2,25
1004,7500,3,2,21
1006,1500,3,2,21
1007,7000,3,1,20
1008,2500,3,2,30
1009,2600,3,2,19
1014,2200,3,1,19
1016,1700,3,2,20
1020,200,3,2,30
1023,638,3,1,12
1030,300,2,2,20
1034,0,2,2,20
1039,6100,3,2,22
1040,150,3,2,15
1041,5923,3,2,18
1045,10000,3,1,25
1047,5700,3,2,20
1048,0,3,2,24
1054,950,3,1,15
1055,1500,3,1,30
1056,4100,3,2,20
1059,11000,2,1,23
1061,10480,3,1,25
1062,10300,3,1,22
1063,1041,3,2,19
1064,10500,3,1,28
1065,7200,3,2,21
1066,1500,2,1,23
1067,1424,2,1,23
1069,5000,3,2,22
1070,200,2,2,26
1072,400,2,1,23
1073,1000,2,2,19
1075,5000,3,2,18
1077,6064,3,2,18
1078,700,2,2,18
1079,170,2,2,23
1083,10000,3,2,27
1084,9500,3,1,18
1085,1140,3,1,20
1088,1000,3,2,25
1091,8000,3,1,23
1093,1500,3,2,24
1094,6500,3,1,23
1096,10400,3,1,20
1097,5900,3,1,19
1098,4600,3,1,23
1099,1500,3,1,23
1101,180,1,2,24
1102,15000,3,1,24
1103,4000,3,2,20
1104,3000,3,2,20
1107,9000,3,1,21
1108,6000,3,2,20
1111,5765,3,2,22
1114,4000,1,2,29
1115,7000,1,1,20
1119,13500,1,1,18
1120,7200,1,1,21
1122,8900,1,1,30
1123,0,1,2,30
1124,400,1,1,26
1126,2000,1,2,28
1130,4000,1,2,27
1131,4000,1,2,26
1133,3600,3,2,29
1137,4000,3,1,27
1138,2400,3,1,23
1140,1000,3,2,27
1141,5000,3,2,25
1142,2200,1,1,20
1143,500,3,1,26
1145,300,3,1,18
1148,6000,2,1,22
1151,11000,2,1,30
1154,2800,2,2,29
1155,1203,2,2,25
1156,4000,2,1,23
1157,3000,2,2,24
1158,2000,2,2,19
1161,0,2,2,24
1163,100,3,2,21
1165,10400,2,2,25
1168,0,2,2,24
1169,10000,3,1,17
1172,7800,3,2,22
1174,800,3,1,22
1175,5200,3,2,24
1180,9000,3,1,22
1183,2800,3,1,28
1184,6700,3,2,26
1185,800,3,1,26
1187,450,3,2,23
1189,1939,2,2,23
1190,575,2,1,27
1191,162,2,2,29
1199,5000,3,2,15
1200,1896,3,2,20
1202,6966,2,2,17
1203,0,2,2,17
1207,340,2,2,30
1208,2820,2,2,21
1209,7000,2,2,26
1210,0,2,2,20
1212,1000,2,2,15
1216,500,2,2,18
1221,358,2,2,16
1224,900,2,2,23
1225,9000,3,2,21
1226,0,3,2,17
1227,2000,2,2,20
1230,7000,3,2,21
1232,10000,3,1,28
1233,9000,3,2,26
1234,75,3,2,24
1237,5000,3,1,28
1238,300,3,2,19
1245,1300,3,1,21
1249,11000,3,1,27
1250,1475,3,2,26
1252,3000,3,2,25
1259,500,3,2,19
1261,2400,3,2,29
1262,1200,3,2,29
1263,0,3,2,26
1264,900,3,1,22
1265,3500,3,1,21
1268,1300,3,1,22
1269,951,2,2,29
1272,8137,3,1,28
1274,0,3,2,26
1275,5000,3,1,21
1278,1624,3,1,23
1279,0,3,2,24
1280,200,3,1,20
1288,0,2,1,30
1290,1360,2,2,23
1293,1200,2,2,24
1297,2284,2,2,26
1299,2000,2,2,29
1301,8180,3,1,22
1302,0,3,2,18
1305,2000,3,2,18
1306,45,3,2,28
1307,2000,3,1,29
1311,1500,3,1,30
1312,0,3,2,18
1318,4000,3,1,13
1320,6000,3,1,17
1325,2600,3,1,23
1333,0,3,1,19
1334,6600,3,2,18
1335,3000,3,2,23
1337,5400,3,1,22
1338,300,3,1,21
1340,4900,3,1,18
1341,0,3,2,26
1342,5000,3,1,22
1343,5000,3,2,24
1344,1208,3,2,24
1345,11000,3,1,20
1352,6000,3,2,19
1354,6000,3,1,21
1355,2000,3,1,17
1357,9600,3,1,22
1358,4600,3,1,23
1359,4000,3,2,28
1360,6000,3,2,25
1363,2800,3,1,24
1366,4000,3,2,16
1367,350,3,1,24
1369,2000,3,1,21
1371,5200,3,1,26
1376,2000,2,2,24
1377,250,2,2,20
1382,7000,2,2,22
1386,900,2,1,19
1391,0,2,2,18
1392,6480,3,2,17
1393,7000,3,1,25
1394,7000,3,2,24
1397,8000,3,1,19
1401,1900,1,2,17
1406,1200,1,2,21
1413,3000,1,1,19
1414,250,1,2,17
1415,0,1,2,19
1419,2000,1,2,18
1423,0,3,2,20
1424,12500,3,1,21
1428,15000,3,1,17
1429,1500,3,1,25
1430,0,3,1,29
1432,600,2,1,22
1435,206,2,2,23
1449,0,1,1,17
1451,129,1,2,21
1455,400,3,2,21
1457,6000,3,1,17
1458,11000,3,1,30
1460,2700,3,2,29
1461,8600,3,1,20
1462,9300,3,1,23
1463,6785,3,2,18
1467,0,3,2,19
1468,13150,3,1,26
1469,1792,3,2,19
1470,0,3,2,27
1471,7600,3,1,30
1474,1000,3,2,30
1475,4600,3,1,19
1477,1700,3,1,26
1478,4000,3,2,16
1480,700,2,1,23
1481,2142,2,1,29
1485,15000,2,1,19
1486,6500,2,1,21
1488,8000,2,1,21
1492,9000,3,1,23
1495,8000,3,2,18
1496,3000,3,1,23
1497,200,3,2,20
1499,6700,3,2,24
1504,1500,3,1,25
1505,2000,3,1,25
1506,7775,3,1,28
1509,3000,3,1,27
1511,800,3,2,21
1512,25,3,2,30
1514,6000,3,2,21
1516,6200,2,2,18
1517,4000,2,2,26
1519,250,2,2,19
1520,9870,2,1,16
1521,1890,2,1,29
1522,2200,2,2,27
1525,2300,3,2,20
1526,12000,3,1,23
1527,7000,2,1,20
1529,15,2,2,21
1534,6000,1,2,25
1539,2500,3,2,20
1541,147,3,2,29
1542,3000,3,1,22
1544,1000,3,2,26
1545,300,3,1,20
1546,800,3,2,20
1547,12000,3,1,22
1548,0,3,2,21
1549,990,3,2,19
1550,3342,3,2,28
1551,4924,3,2,24
1552,1500,3,2,22
1553,6000,3,2,28
1554,5000,3,1,27
1555,24500,3,1,23
1562,1500,3,2,23
1563,300,3,1,19
1564,800,3,2,23
1566,1916,3,2,22
1567,2500,3,1,30
1568,885,3,2,26
1570,500,3,1,20
1572,0,1,2,29
1573,5600,1,1,26
1575,7000,3,1,18
1576,2800,3,1,21
1577,4500,3,1,23
1582,8000,3,1,25
1583,0,3,2,27
1587,1300,3,2,24
1593,7495,3,2,22
1594,4000,3,1,28
1596,0,3,2,19
1599,4000,3,2,26
1600,3200,3,2,29
1603,500,3,1,30
1604,10000,3,1,29
1605,3500,3,2,15
1606,5000,3,2,25
1607,0,3,2,29
1608,775,3,2,23
1609,1100,3,2,28
1616,3000,3,2,23
1617,0,3,2,26
1619,2500,3,1,30
1620,4800,3,1,27
1622,8600,3,1,20
1623,700,3,2,19
1628,7000,3,1,28
1634,1897,3,2,25
1638,7500,3,2,27
1640,6085,3,2,18
1641,11000,1,1,25
1643,600,1,1,19
1644,2000,1,1,18
1647,0,3,2,21
1648,0,3,2,18
1649,800,1,2,22
1653,6000,3,1,23
1654,7000,3,1,24
1655,5000,3,2,23
1657,3231,3,2,28
1660,8000,3,1,20
1664,2000,1,1,17
1668,1224,1,1,28
1671,6624,3,2,30
1673,1200,3,1,19
1675,2162,3,2,19
1678,6000,3,1,30
1683,6000,3,2,26
1684,2000,3,1,18
1685,2520,2,2,26
1686,1300,2,1,19
1688,1050,2,2,19
1689,0,1,2,23
1690,0,1,2,18
1694,0,1,2,22
1697,350,1,1,26
1699,1000,1,2,24
1701,15000,1,1,30
1706,4000,3,1,29
1707,2500,3,2,24
1708,4000,3,1,28
1711,150,3,2,20
1712,2000,3,2,24
1713,3000,2,2,27
1714,200,2,2,20
1720,1000,2,2,27
1721,8000,1,1,21
1722,1000,1,2,29
1728,10000,1,1,20
1729,100,1,2,18
1730,6000,3,2,24
1732,1775,3,2,27
1735,2000,3,2,22
1738,6000,3,2,23
1739,5080,3,1,30
1740,7000,3,2,23
1742,3900,3,1,26
1743,4000,3,1,23
1744,4000,3,1,30
1746,2300,3,1,27
1747,150,3,2,23
1749,0,2,2,19
1750,0,1,1,28
1751,202,1,2,21
1753,7500,2,1,18
1757,900,2,2,23
1760,1800,2,2,22
1765,300,3,1,19
1766,1922,3,2,22
1772,200,3,1,18
1773,0,3,1,22
1774,10000,1,2,20
1776,300,3,2,28
1777,1500,3,1,24
1778,2000,3,2,16
1779,2000,1,1,21
1781,4000,3,1,19
1782,0,1,1,20
1783,3000,3,1,20
1795,0,3,2,28
1797,0,3,2,27
1800,10000,3,2,30
1801,3000,3,2,26
1804,1000,3,2,26
1806,1800,3,1,26
1807,2000,1,1,18
1808,3040,3,2,24
1816,0,1,2,25
1818,0,1,2,15
1820,2000,1,1,21
1824,4500,1,2,21
1826,570,3,2,26
1829,395,2,2,28
1833,0,1,2,24
1835,1000,1,1,29
1837,4000,1,1,24
1841,3500,3,2,24
1843,2900,3,1,30
1844,3700,3,2,29
1845,2000,3,1,23
1846,2000,3,1,20
1847,3000,1,2,22
1851,0,1,1,30
1853,3500,3,2,23
1855,5000,3,1,24
1857,4000,3,1,22
1858,6000,3,2,26
1859,8900,3,1,23
1862,3500,3,2,30
1863,104,3,2,27
1864,817,3,1,22
1865,3200,3,2,18
1866,2173,3,2,21
1870,0,3,2,30
1871,7500,3,2,20
1872,14000,3,1,22
1878,0,3,2,24
1880,5009,3,2,26
1882,120,3,1,20
1885,4800,3,2,20
1886,560,3,2,30
1887,8000,3,1,28
1891,3500,3,1,20
1893,0,3,2,20
1895,1500,3,1,28
1897,750,3,1,20
1898,2400,3,2,22
1899,1300,3,1,18
1900,2964,3,2,21
1901,11000,3,1,22
1903,10350,3,1,25
1906,120,3,2,21
1907,2600,3,2,28
1908,8000,3,1,21
1909,9500,3,1,19
1910,718,3,1,20
1912,150,3,2,21
1914,1300,3,1,25
1915,1200,3,2,30
1918,3900,3,1,24
1921,7418,3,2,26
1926,5000,3,2,20
1929,2400,3,2,29
1933,1500,3,2,27
1935,850,3,2,29
1936,885,3,2,17
1937,400,3,2,28
1941,6800,3,1,22
1942,4000,3,2,20
1944,60,3,1,21
1947,0,3,2,20
1949,400,3,2,21
1951,700,3,2,24
1956,7750,3,1,24
1957,816,3,1,22
1958,2469,3,1,30
1959,1200,3,1,18
1962,6000,3,2,20
1963,1600,3,1,28
1964,3000,3,1,27
1965,2000,3,2,26
1966,2000,3,1,22
1979,11600,3,1,21
1980,200,3,2,20
1981,9000,3,1,20
1982,4098,3,2,19
1984,400,3,1,15
1985,0,3,2,20
1987,8000,3,1,23
1988,5804,3,1,21
1990,0,3,2,26
1994,2810,3,2,24
1995,800,3,2,20
1996,5000,3,1,29
2000,3400,3,1,25
2002,0,3,2,22
2004,1600,3,2,26
2010,3000,3,1,30
2011,600,3,2,19
2012,2000,3,2,28
2013,6180,3,2,29
2014,7000,3,1,21
2018,4000,3,1,23
2023,8500,3,1,23
2024,1200,3,1,22
2025,6000,3,1,26
2027,50,3,2,26
2028,1400,3,1,21
2029,1500,3,1,21
2030,1500,3,2,22
2034,3350,3,1,22
2036,6922,3,2,28
2043,2000,3,1,29
2044,18000,3,1,28
2047,4800,3,1,30
2048,2200,3,1,28
2050,1000,3,2,25
2053,2000,3,2,22
2054,30,3,2,20
2055,11000,3,1,22
2056,3800,3,1,26
2064,4000,3,2,18
2070,3000,3,2,28
2073,6179,3,2,24
2075,9000,3,1,17
2076,7200,3,2,20
2077,0,3,2,21
2079,2450,3,2,28
2081,3000,3,1,19
2083,1500,3,2,21
2084,3000,3,2,26
2086,6000,3,1,22
2087,3000,3,1,22
2093,14280,3,1,20
2094,0,3,2,19
2095,2000,3,1,27
2096,850,3,1,30
2097,10000,3,1,15
2098,300,3,2,19
2100,11900,3,1,26
2101,11630,3,1,25
2102,200,3,2,24
2103,6500,3,2,26
2104,7000,3,2,27
2105,5000,3,2,17
2106,8000,3,1,20
2108,5000,3,1,22
2112,0,3,2,20
2115,800,3,2,23
2119,0,3,2,23
2121,0,3,2,20
2125,80,3,2,20
2129,150,3,2,22
2131,0,3,2,14
2137,3000,3,2,22
2139,400,3,2,23
2144,5100,3,1,30
2145,11000,3,1,19
2146,5800,3,2,26
2154,685,3,2,24
2155,3300,3,2,26
2157,2100,3,1,18
2158,0,3,2,22
2159,0,2,1,26
2163,9000,3,1,23
2165,0,3,2,7
2166,1300,3,1,14
2168,400,3,1,20
2173,6000,3,1,28
2175,2300,3,2,17
2183,4000,3,1,24
2184,750,3,1,24
2190,2000,3,2,27
2191,12000,3,1,26
2195,7000,3,1,23
2196,5500,3,2,23
2198,6000,3,1,23
2199,4000,3,2,22
2201,5000,3,2,26
2206,0,3,2,19
2215,900,3,2,23
2216,5500,3,1,27
2217,5000,3,2,18
2220,2300,3,1,22
2221,7500,3,2,22
2222,1200,3,1,23
2226,3200,2,1,18
2227,4500,3,1,20
2228,1600,3,2,27
2231,8000,3,1,23
2235,150,3,2,20
2237,0,3,2,18
2241,9000,3,1,25
2242,7000,3,2,25
2245,700,3,2,27
2246,3000,3,2,18
2247,7800,3,2,19
2250,0,2,2,18
2252,1975,2,2,18
2253,200,2,2,26
2262,0,2,2,16
2264,2700,2,1,22
2265,0,2,2,29
2267,0,2,2,17
2270,8000,2,2,29
2272,880,2,2,23
2274,340,3,2,17
2278,225,3,2,30
2279,12000,3,1,20
2280,900,3,2,18
2281,200,3,2,22
2282,500,3,2,17
2283,7000,3,2,25
2284,1500,3,2,16
2285,2700,3,2,27
2289,1200,3,2,19
2293,4500,3,1,25
2295,2625,3,2,23
2297,0,3,2,23
2298,1100,3,2,27
2299,1650,3,2,27
2300,2000,3,1,28
2301,1600,3,2,22
2303,2500,3,1,25
2304,13000,3,1,22
2308,0,3,2,16
2311,2000,3,2,23
2312,7500,3,1,24
2313,2000,3,2,22
2314,3000,3,1,18
2315,0,3,2,19
2317,1300,3,2,20
2318,11000,3,1,29
2326,400,3,1,25
2328,5586,3,2,28
2329,4680,3,1,22
2332,300,3,1,22
2333,6000,3,2,22
2334,2000,3,1,22
2336,1400,3,1,27
2338,2000,3,1,22
2340,500,3,2,17
2341,2400,3,1,30
2343,1200,3,1,25
2346,6200,3,2,18
2349,600,2,1,18
2350,469,2,2,27
2351,300,2,1,21
2354,4000,2,1,18
2355,0,2,2,16
2357,4000,2,2,16
2359,0,2,2,21
2360,498,2,2,29
2362,1100,2,2,24
2363,1000,2,1,21
2366,7000,3,1,23
2367,2600,3,1,28
2368,6000,3,2,24
2370,2000,3,2,21
2371,880,3,1,22
2375,0,3,2,17
2379,1200,3,1,24
2381,0,3,1,19
2382,850,1,1,21
2385,1200,1,1,21
2388,875,1,2,26
2389,5000,3,1,24
2391,14638,3,1,20
2392,3000,3,1,22
2394,1500,3,2,19
2395,1349,1,2,26
2398,3000,3,2,22
2401,10000,3,1,21
2403,5996,3,1,21
2404,2142,3,2,16
2405,1500,3,2,26
2406,0,3,1,18
2407,3500,3,2,22
2408,8360,3,2,22
2410,1000,3,2,22
2413,7000,3,1,22
2416,1700,3,2,19
2417,15050,3,1,17
2418,3000,3,2,24
2421,8000,3,1,27
2423,7000,3,1,20
2428,1500,3,1,21
2434,0,3,2,23
2436,4500,3,2,26
2437,1350,3,2,27
2445,10200,3,1,16
2446,8470,3,1,18
2447,2800,3,2,24
2449,8800,3,1,19
2450,0,3,2,24
2451,8000,3,1,24
2452,3000,3,2,26
2455,0,3,1,25
2457,0,3,2,18
2458,0,3,2,29
2459,1442,3,2,17
2460,1321,3,1,27
2462,500,3,2,18
2463,2000,3,1,25
2464,2000,3,1,22
2469,2000,3,2,17
2474,6000,3,2,29
2478,3800,3,2,21
2481,4969,3,1,25
2483,3000,3,2,19
2486,0,3,1,21
2489,2000,3,1,27
2490,800,3,1,28
2494,1000,3,1,29
2495,3900,3,1,20
2496,0,3,2,24
2501,6000,3,2,18
2507,1000,3,2,17
2508,1500,3,1,26
2511,500,3,2,24
2514,2000,3,2,30
2519,3000,3,2,20
2522,9300,3,1,29
2523,304,3,2,28
2525,6799,3,2,19
2528,232,3,2,16
2531,0,3,2,26
2532,3000,3,1,26
2534,8500,3,1,19
2535,7000,3,1,24
2536,1571,3,2,18
2537,6050,3,1,19
2538,700,3,2,20
2539,6500,3,1,24
2543,3875,3,2,24
2544,1500,3,2,26
2548,1200,3,1,21
2549,920,3,2,22
2550,1600,3,1,26
2553,2800,3,1,20
2555,9000,3,1,22
2556,2200,3,2,23
2561,5000,3,1,22
2564,2700,3,2,14
2565,2000,3,2,27
2566,1000,3,2,22
2568,6800,3,1,24
2569,2200,3,2,20
2573,5648,3,2,25
2575,25,3,2,22
2580,575,3,2,15
2587,1607,3,1,19
2588,0,3,2,25
2594,0,3,1,20
2599,1167,3,2,16
2601,6000,3,1,17
2605,2000,3,2,21
2606,0,3,2,16
2607,0,3,2,27
2613,2200,3,1,20
2614,1400,3,1,19
2620,17500,3,1,23
2621,3300,3,1,17
2624,3200,3,2,20
2625,400,3,1,29
2628,600,3,2,28
2631,1100,3,1,18
2634,2500,3,1,20
2637,240,3,1,14
2640,482,3,2,19
2641,860,1,1,17
2643,2000,1,1,22
2645,500,1,2,15
2646,0,1,2,20
2647,500,1,1,20
2653,3800,1,1,18
2654,600,1,2,17
2656,1000,1,2,19
2661,2560,1,1,17
2668,6888,1,2,21
2669,270,1,2,19
2670,2400,1,2,25
2671,950,1,1,24
2672,2100,1,2,18
2673,1872,1,1,17
2674,2448,1,1,18
2680,72,3,2,27
2683,0,1,2,17
2684,3325,3,1,22
2685,1200,3,1,24
2688,3245,1,1,21
2689,2784,3,2,22
2692,0,1,2,19
2693,2000,1,1,21
2694,1200,1,1,29
2699,400,1,2,18
2702,2500,1,1,25
2703,1500,1,1,20
2704,0,1,2,20
2705,1000,1,2,17
2708,1200,1,1,17
2711,5000,3,1,21
