"","Account","User Name","Followers at Posting","Post Created","Post Created Date","Post Created Time","Type","Total Interactions","Likes","Comments","Views","Like and View Counts Disabled","URL","Link","Photo","Title","Description","Image Text","Sponsor Id","Sponsor Name","Overperforming Score (weighted  —  Likes 1x Comments 1x )"
"11","Climate Reality","climatereality","330999","2022-10-07 15:30:14 EDT",2022-10-07,55814,"Album",226,226,0,0,FALSE,"https://www.instagram.com/p/CjbJ5FUrBu9/","https://www.instagram.com/p/CjbJ5FUrBu9/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310735348_502137781759705_2487746054971837345_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=j2q10XcZeQYAX9MINCt&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT91NsTm_ybD2u-ulnLQDEglmOxU7Uha6N2qojtlek_a4Q&oe=6349E292",NA,"We couldn't be more excited to share more #24HoursofReality #SpotlightonSolutions stories from everyday activists like you! Check out John, Carolina, and Kefeni's stories. Each has dedicated their time to protecting nature.",NA,NA,NA,-5.68
"12","Climate Reality","climatereality","330999","2022-10-07 13:30:44 EDT",2022-10-07,48644,"Album",195,193,2,0,FALSE,"https://www.instagram.com/p/Cja8Nbtqs_1/","https://www.instagram.com/p/Cja8Nbtqs_1/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310792619_1616461645435841_5684119612478570604_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=upRONGeDqt8AX8AN7uf&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9kBVHZtcHNM_VwhafcXY4CST3icqf-uT2XQX-cLLKCoA&oe=6349D474",NA,"Find inspiration in these incredible climate activists. They're making waves in their communities and beyond, and we're excited to share their stories during #24HoursofReality! #SpotlightonSolutions",NA,NA,NA,-6.58
"13","Climate Reality","climatereality","330999","2022-10-07 12:42:24 EDT",2022-10-07,45744,"Album",507,498,9,2899,FALSE,"https://www.instagram.com/p/Cja2sGiukHO/","https://www.instagram.com/p/Cja2sGiukHO/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/311052895_119530294223551_4497889884699728377_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=RfVt4UxRrrkAX9jDrb8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT_63mno8WcWUbO1ZJ1YDSZQbBkxqSAXsLOP1jtbP87WEA&oe=63497CE1",NA,"Never underestimate the power of climate activists! In this #SpotlightonSolutions, learn more about climate kids Rosalee Hernandez-Gioia and Nicole and Manu as they take action to protect the planet! Keep tuning in for more inspiring stories as we continue #24HoursofReality!",NA,NA,NA,-2.53
"14","Climate Reality","climatereality","330999","2022-10-07 11:20:32 EDT",2022-10-07,40832,"Album",388,385,3,2634,FALSE,"https://www.instagram.com/p/CjatUejuhPs/","https://www.instagram.com/p/CjatUejuhPs/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/310693168_193659183063755_2970868423916249884_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=qIxqGf7ATIcAX_BBoyR&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9J_Q6Eb2PnU-zlePJI3K07Bz-GU9h_Nyim4NdMBzyhZQ&oe=6349DDA5",NA,"Time for another #SpotlightonSolutions! Take a page out of Kat, Azeez, Jeannette, and Ring Out for Climate's books. These activists used their experiences with their communities to share and spread their climate solutions. Stay tuned to #24HoursofReality for more incredible stories like these!",NA,NA,NA,-3.31
"15","Climate Reality","climatereality","330999","2022-10-07 10:20:17 EDT",2022-10-07,37217,"Album",164,164,0,0,FALSE,"https://www.instagram.com/p/Cjamam_q5aW/","https://www.instagram.com/p/Cjamam_q5aW/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310794014_412918500919292_2442661155794148746_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XlUBG3YSB2EAX8Pd_Bg&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8E57k8cVdNfnvTliepNgFaWHxgOyllc7u9Hw2X5DdFZQ&oe=6348B6AE",NA,"When climate activists see a problem, they find a solution! Creating green communities starts at any level. Take a look at their #SpotlightonSolutions! #24HoursofReality",NA,NA,NA,-7.82
"16","Climate Reality","climatereality","330999","2022-10-07 09:27:28 EDT",2022-10-07,34048,"Album",212,211,1,1111,FALSE,"https://www.instagram.com/p/CjagYVZuKG4/","https://www.instagram.com/p/CjagYVZuKG4/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/311442811_1065519634111340_99148546497431053_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=OGPtR_FVk6gAX_mvjEW&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT--xhw_FeIURFKiEWrlQ2H47LN52v9t6cCe2Tjlradh4g&oe=63486844",NA,"We're halfway through #24HoursofReality! Ready for more inspiring stories? Our next advocates went unconventional to combat the climate crisis. Check out these #SpotlightonSolutions stories to learn more!",NA,NA,NA,-6.05
"17","Climate Reality","climatereality","330999","2022-10-07 08:26:09 EDT",2022-10-07,30369,"Album",219,218,1,2059,FALSE,"https://www.instagram.com/p/CjaZXQ5u14p/","https://www.instagram.com/p/CjaZXQ5u14p/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/310981333_502341501742948_516207007498488127_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cU6OCxblMcgAX_IWSlT&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8aGSdoMqRvwuNTfBfFW_fgo6ZsEJxstc1GhfOIWOVGnA&oe=63495AEB",NA,"These activists headed into their communities to make their #SpotlightonSolutions stories heard. Check them out! #24HoursofReality",NA,NA,NA,-5.86
"18","Climate Reality","climatereality","330999","2022-10-07 07:33:32 EDT",2022-10-07,27212,"Album",231,231,0,669,FALSE,"https://www.instagram.com/p/CjaTV12uPK7/","https://www.instagram.com/p/CjaTV12uPK7/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/310620980_158495886858323_6971841140783200898_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=GhKguM998BMAX_wIb8a&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8vh9qKTQgjSbTTAuOgh0LIL4u_0z91p6MJIZb2_3LjYw&oe=634867A3",NA,"When these teachers saw the #climatecrisis taking hold, they turned to the next generation for answers. Now, they're uplifting our future climate activists! Keeping watching #24HoursofReality for more powerful stories like these! #SpotlightonSolutions",NA,NA,NA,-5.55
"19","Climate Reality","climatereality","330999","2022-10-07 06:40:11 EDT",2022-10-07,24011,"Album",165,165,0,0,FALSE,"https://www.instagram.com/p/CjaNO0PNmRK/","https://www.instagram.com/p/CjaNO0PNmRK/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310890273_1551066578681217_4247592378538928450_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=J-430L2SZ0UAX_twSRF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT_6spifUSr1FLKymnVVct_suNpJabTxGzZ-k1_WzXLERQ&oe=63498EB8",NA,"These two activists are turning problems into solutions! In this #SpotlightonSolutions, check out Anne and Steve, who shared how you can make waves in your community and across the globe. #24HoursofReality",NA,NA,NA,-7.82
"20","Climate Reality","climatereality","330999","2022-10-07 06:15:13 EDT",2022-10-07,22513,"Album",228,228,0,0,FALSE,"https://www.instagram.com/p/CjaKX6bNvam/","https://www.instagram.com/p/CjaKX6bNvam/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310707303_866496108066994_4771916511206387057_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=KgdzZi-H8mgAX-rNWcY&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8G2sjwL9hBzuADIIx4a9_yoWZylRqGouKBdHWgTbRGaw&oe=63490495",NA,"Moms are making the world a better place for their children, and these two are leading the way. Learn from Tessa and Harriet (an award-winning Climate Reality Leader), whose #SpotlightonSolutions stories are making a huge difference. #24HoursofReality",NA,NA,NA,-5.66
